Country,Region,IncomeGroup,Area,Measure,Value
Algeria,Africa,Upper-middle,Forest,Ecological deficit or reserve,-1.611048674
Algeria,Africa,Upper-middle,Grazing land,Ecological deficit or reserve,0.090828585
Algeria,Africa,Upper-middle,Total,Ecological deficit or reserve,-1.907224653
Algeria,Africa,Upper-middle,Built up land,Ecological footprint of consumption,0.028062842
Algeria,Africa,Upper-middle,Cropland,Ecological footprint of consumption,0.582685019
Algeria,Africa,Upper-middle,Fishing grounds,Ecological footprint of consumption,0.01544039
Algeria,Africa,Upper-middle,Forest,Ecological footprint of consumption,1.639320948
Algeria,Africa,Upper-middle,Grazing land,Ecological footprint of consumption,0.183246027
Algeria,Africa,Upper-middle,Total,Ecological footprint of consumption,2.448755226
Angola,Africa,Lower-middle,Built up land,Biocapacity,0.047258079
Angola,Africa,Lower-middle,Cropland,Biocapacity,0.24950477
Angola,Africa,Lower-middle,Fishing grounds,Biocapacity,0.22470559
Angola,Africa,Lower-middle,Forest,Biocapacity,0.53937284
Angola,Africa,Lower-middle,Grazing land,Biocapacity,1.229495166
Angola,Africa,Lower-middle,Total,Biocapacity,2.290336445
Angola,Africa,Lower-middle,Built up land,Ecological deficit or reserve,0
Angola,Africa,Lower-middle,Cropland,Ecological deficit or reserve,-0.133587985
Angola,Africa,Lower-middle,Fishing grounds,Ecological deficit or reserve,0.076804068
Angola,Africa,Lower-middle,Forest,Ecological deficit or reserve,-0.345291817
Angola,Africa,Lower-middle,Grazing land,Ecological deficit or reserve,1.1335388
Angola,Africa,Lower-middle,Total,Ecological deficit or reserve,0.731463066
Angola,Africa,Lower-middle,Built up land,Ecological footprint of consumption,0.047258079
Angola,Africa,Lower-middle,Cropland,Ecological footprint of consumption,0.383092755
Angola,Africa,Lower-middle,Fishing grounds,Ecological footprint of consumption,0.147901522
Angola,Africa,Lower-middle,Forest,Ecological footprint of consumption,0.884664657
Angola,Africa,Lower-middle,Grazing land,Ecological footprint of consumption,0.095956366
Angola,Africa,Lower-middle,Total,Ecological footprint of consumption,1.55887338
Antigua and Barbuda,Latin America,High income,Total,Biocapacity,0.933321582
Antigua and Barbuda,Latin America,High income,Total,Ecological deficit or reserve,-3.251152165
Antigua and Barbuda,Latin America,High income,Total,Ecological footprint of consumption,4.184473747
Argentina,Latin America,Upper-middle,Built up land,Biocapacity,0.105008823
Argentina,Latin America,Upper-middle,Cropland,Biocapacity,2.588882258
Argentina,Latin America,Upper-middle,Fishing grounds,Biocapacity,1.611977007
Argentina,Latin America,Upper-middle,Forest,Biocapacity,0.610837954
Argentina,Latin America,Upper-middle,Grazing land,Biocapacity,1.792340705
Argentina,Latin America,Upper-middle,Total,Biocapacity,6.709046747
Argentina,Latin America,Upper-middle,Built up land,Ecological deficit or reserve,0
Argentina,Latin America,Upper-middle,Cropland,Ecological deficit or reserve,1.459548633
Argentina,Latin America,Upper-middle,Fishing grounds,Ecological deficit or reserve,1.525326096
Argentina,Latin America,Upper-middle,Forest,Ecological deficit or reserve,-0.915362889
Argentina,Latin America,Upper-middle,Grazing land,Ecological deficit or reserve,0.949806632
Argentina,Latin America,Upper-middle,Total,Ecological deficit or reserve,3.019318471
Argentina,Latin America,Upper-middle,Built up land,Ecological footprint of consumption,0.105008823
Argentina,Latin America,Upper-middle,Cropland,Ecological footprint of consumption,1.129333625
Argentina,Latin America,Upper-middle,Fishing grounds,Ecological footprint of consumption,0.086650911
Argentina,Latin America,Upper-middle,Forest,Ecological footprint of consumption,1.526200843
Argentina,Latin America,Upper-middle,Grazing land,Ecological footprint of consumption,0.842534073
Argentina,Latin America,Upper-middle,Total,Ecological footprint of consumption,3.689728277
Armenia,Middle East/Central Asia,Lower-middle,Built up land,Biocapacity,0.061555927
Armenia,Middle East/Central Asia,Lower-middle,Cropland,Biocapacity,0.353566421
Armenia,Middle East/Central Asia,Lower-middle,Fishing grounds,Biocapacity,0.01553377
Armenia,Middle East/Central Asia,Lower-middle,Forest,Biocapacity,0.093546309
Armenia,Middle East/Central Asia,Lower-middle,Grazing land,Biocapacity,0.261703193
Armenia,Middle East/Central Asia,Lower-middle,Total,Biocapacity,0.78590562
Armenia,Middle East/Central Asia,Lower-middle,Built up land,Ecological deficit or reserve,0
Armenia,Middle East/Central Asia,Lower-middle,Cropland,Ecological deficit or reserve,-0.268191541
Armenia,Middle East/Central Asia,Lower-middle,Fishing grounds,Ecological deficit or reserve,0.009068149
Armenia,Middle East/Central Asia,Lower-middle,Forest,Ecological deficit or reserve,-1.010854597
Armenia,Middle East/Central Asia,Lower-middle,Grazing land,Ecological deficit or reserve,0.037288695
Armenia,Middle East/Central Asia,Lower-middle,Total,Ecological deficit or reserve,-1.232689294
Armenia,Middle East/Central Asia,Lower-middle,Built up land,Ecological footprint of consumption,0.061555927
Armenia,Middle East/Central Asia,Lower-middle,Cropland,Ecological footprint of consumption,0.621757962
Armenia,Middle East/Central Asia,Lower-middle,Fishing grounds,Ecological footprint of consumption,0.00646562
Armenia,Middle East/Central Asia,Lower-middle,Forest,Ecological footprint of consumption,1.104400906
Armenia,Middle East/Central Asia,Lower-middle,Grazing land,Ecological footprint of consumption,0.224414498
Armenia,Middle East/Central Asia,Lower-middle,Total,Ecological footprint of consumption,2.018594914
Aruba,Latin America,High income,Total,Biocapacity,0.571144371
Aruba,Latin America,High income,Total,Ecological deficit or reserve,-5.836375856
Aruba,Latin America,High income,Total,Ecological footprint of consumption,6.407520227
Australia,Asia-Pacific,High income,Built up land,Biocapacity,0.063370027
Australia,Asia-Pacific,High income,Cropland,Biocapacity,2.36218343
Australia,Asia-Pacific,High income,Fishing grounds,Biocapacity,3.137665027
Australia,Asia-Pacific,High income,Forest,Biocapacity,1.954944064
Australia,Asia-Pacific,High income,Grazing land,Biocapacity,5.732847304
Australia,Asia-Pacific,High income,Total,Biocapacity,13.25100985
Australia,Asia-Pacific,High income,Built up land,Ecological deficit or reserve,0
Australia,Asia-Pacific,High income,Cropland,Ecological deficit or reserve,1.682782215
Australia,Asia-Pacific,High income,Fishing grounds,Ecological deficit or reserve,3.015924119
Australia,Asia-Pacific,High income,Forest,Ecological deficit or reserve,-3.607830047
Australia,Asia-Pacific,High income,Grazing land,Ecological deficit or reserve,5.274387148
Australia,Asia-Pacific,High income,Total,Ecological deficit or reserve,6.365263436
Australia,Asia-Pacific,High income,Built up land,Ecological footprint of consumption,0.063370027
Australia,Asia-Pacific,High income,Cropland,Ecological footprint of consumption,0.679401215
Australia,Asia-Pacific,High income,Fishing grounds,Ecological footprint of consumption,0.121740908
Australia,Asia-Pacific,High income,Forest,Ecological footprint of consumption,5.562774111
Australia,Asia-Pacific,High income,Grazing land,Ecological footprint of consumption,0.458460156
Australia,Asia-Pacific,High income,Total,Ecological footprint of consumption,6.885746416
Austria,EU-28,High income,Built up land,Biocapacity,0.151161595
Austria,EU-28,High income,Cropland,Biocapacity,0.696275871
Austria,EU-28,High income,Fishing grounds,Biocapacity,0.003093079
Austria,EU-28,High income,Forest,Biocapacity,2.014664741
Austria,EU-28,High income,Grazing land,Biocapacity,0.149234766
Austria,EU-28,High income,Total,Biocapacity,3.014430052
Austria,EU-28,High income,Built up land,Ecological deficit or reserve,0
Austria,EU-28,High income,Cropland,Ecological deficit or reserve,-0.220968253
Austria,EU-28,High income,Fishing grounds,Ecological deficit or reserve,-0.06047995
Austria,EU-28,High income,Forest,Ecological deficit or reserve,-2.477195027
Austria,EU-28,High income,Grazing land,Ecological deficit or reserve,-0.103350303
Austria,EU-28,High income,Total,Ecological deficit or reserve,-2.861993533
Austria,EU-28,High income,Built up land,Ecological footprint of consumption,0.151161595
Austria,EU-28,High income,Cropland,Ecological footprint of consumption,0.917244125
Austria,EU-28,High income,Fishing grounds,Ecological footprint of consumption,0.063573029
Austria,EU-28,High income,Forest,Ecological footprint of consumption,4.491859769
Austria,EU-28,High income,Grazing land,Ecological footprint of consumption,0.252585068
Austria,EU-28,High income,Total,Ecological footprint of consumption,5.876423585
Azerbaijan,Middle East/Central Asia,Upper-middle,Built up land,Biocapacity,0.046346409
Azerbaijan,Middle East/Central Asia,Upper-middle,Cropland,Biocapacity,0.336213487
Azerbaijan,Middle East/Central Asia,Upper-middle,Fishing grounds,Biocapacity,0.015032555
Azerbaijan,Middle East/Central Asia,Upper-middle,Forest,Biocapacity,0.113214161
Azerbaijan,Middle East/Central Asia,Upper-middle,Grazing land,Biocapacity,0.194118536
Azerbaijan,Middle East/Central Asia,Upper-middle,Total,Biocapacity,0.704925149
Azerbaijan,Middle East/Central Asia,Upper-middle,Built up land,Ecological deficit or reserve,0
Azerbaijan,Middle East/Central Asia,Upper-middle,Cropland,Ecological deficit or reserve,-0.209440404
Azerbaijan,Middle East/Central Asia,Upper-middle,Fishing grounds,Ecological deficit or reserve,0.006340241
Azerbaijan,Middle East/Central Asia,Upper-middle,Forest,Ecological deficit or reserve,-1.238967123
Azerbaijan,Middle East/Central Asia,Upper-middle,Grazing land,Ecological deficit or reserve,-0.022592515
Azerbaijan,Middle East/Central Asia,Upper-middle,Total,Ecological deficit or reserve,-1.464659801
Azerbaijan,Middle East/Central Asia,Upper-middle,Built up land,Ecological footprint of consumption,0.046346409
Azerbaijan,Middle East/Central Asia,Upper-middle,Cropland,Ecological footprint of consumption,0.54565389
Azerbaijan,Middle East/Central Asia,Upper-middle,Fishing grounds,Ecological footprint of consumption,0.008692314
Azerbaijan,Middle East/Central Asia,Upper-middle,Forest,Ecological footprint of consumption,1.352181284
Azerbaijan,Middle East/Central Asia,Upper-middle,Grazing land,Ecological footprint of consumption,0.216711052
Azerbaijan,Middle East/Central Asia,Upper-middle,Total,Ecological footprint of consumption,2.169584949
Bahamas,Latin America,High income,Built up land,Biocapacity,0.042399646
Bahamas,Latin America,High income,Cropland,Biocapacity,0.049459591
Bahamas,Latin America,High income,Fishing grounds,Biocapacity,8.106362114
Bahamas,Latin America,High income,Forest,Biocapacity,1.139340399
Bahamas,Latin America,High income,Grazing land,Biocapacity,0.002386611
Bahamas,Latin America,High income,Total,Biocapacity,9.339948362
Bahamas,Latin America,High income,Built up land,Ecological deficit or reserve,0
Bahamas,Latin America,High income,Cropland,Ecological deficit or reserve,-0.80752255
Bahamas,Latin America,High income,Fishing grounds,Ecological deficit or reserve,7.971921652
Bahamas,Latin America,High income,Forest,Ecological deficit or reserve,-1.706800302
Bahamas,Latin America,High income,Grazing land,Ecological deficit or reserve,-0.941090035
Bahamas,Latin America,High income,Total,Ecological deficit or reserve,4.516508764
Bahamas,Latin America,High income,Built up land,Ecological footprint of consumption,0.042399646
Bahamas,Latin America,High income,Cropland,Ecological footprint of consumption,0.856982141
Bahamas,Latin America,High income,Fishing grounds,Ecological footprint of consumption,0.134440463
Bahamas,Latin America,High income,Forest,Ecological footprint of consumption,2.846140701
Bahamas,Latin America,High income,Grazing land,Ecological footprint of consumption,0.943476647
Bahamas,Latin America,High income,Total,Ecological footprint of consumption,4.823439598
Bahrain,Middle East/Central Asia,High income,Built up land,Biocapacity,0.074089047
Bahrain,Middle East/Central Asia,High income,Cropland,Biocapacity,0.00847075
Bahrain,Middle East/Central Asia,High income,Fishing grounds,Biocapacity,0.451329674
Bahrain,Middle East/Central Asia,High income,Forest,Biocapacity,0.000814141
Bahrain,Middle East/Central Asia,High income,Grazing land,Biocapacity,0
Bahrain,Middle East/Central Asia,High income,Total,Biocapacity,0.534703612
Bahrain,Middle East/Central Asia,High income,Built up land,Ecological deficit or reserve,0
Bahrain,Middle East/Central Asia,High income,Cropland,Ecological deficit or reserve,-0.489971853
Bahrain,Middle East/Central Asia,High income,Fishing grounds,Ecological deficit or reserve,0.369351393
Bahrain,Middle East/Central Asia,High income,Forest,Ecological deficit or reserve,-7.643896584
Bahrain,Middle East/Central Asia,High income,Grazing land,Ecological deficit or reserve,-0.411851048
Bahrain,Middle East/Central Asia,High income,Total,Ecological deficit or reserve,-8.176368092
Bahrain,Middle East/Central Asia,High income,Built up land,Ecological footprint of consumption,0.074089047
Bahrain,Middle East/Central Asia,High income,Cropland,Ecological footprint of consumption,0.498442603
Bahrain,Middle East/Central Asia,High income,Fishing grounds,Ecological footprint of consumption,0.081978281
Bahrain,Middle East/Central Asia,High income,Forest,Ecological footprint of consumption,7.644710725
Bahrain,Middle East/Central Asia,High income,Grazing land,Ecological footprint of consumption,0.411851048
Bahrain,Middle East/Central Asia,High income,Total,Ecological footprint of consumption,8.711071703
Bangladesh,Asia-Pacific,Low income,Built up land,Biocapacity,0.078248622
Bangladesh,Asia-Pacific,Low income,Cropland,Biocapacity,0.271160639
Bangladesh,Asia-Pacific,Low income,Fishing grounds,Biocapacity,0.052433937
Bangladesh,Asia-Pacific,Low income,Forest,Biocapacity,0.004030504
Bangladesh,Asia-Pacific,Low income,Grazing land,Biocapacity,0.003272654
Bangladesh,Asia-Pacific,Low income,Total,Biocapacity,0.409146356
Bangladesh,Asia-Pacific,Low income,Built up land,Ecological deficit or reserve,0
Bangladesh,Asia-Pacific,Low income,Cropland,Ecological deficit or reserve,-0.06490929
Bangladesh,Asia-Pacific,Low income,Fishing grounds,Ecological deficit or reserve,0.030815781
Bangladesh,Asia-Pacific,Low income,Forest,Ecological deficit or reserve,-0.350101966
Bangladesh,Asia-Pacific,Low income,Grazing land,Ecological deficit or reserve,-0.001286443
Bangladesh,Asia-Pacific,Low income,Total,Ecological deficit or reserve,-0.385481919
Bangladesh,Asia-Pacific,Low income,Built up land,Ecological footprint of consumption,0.078248622
Bangladesh,Asia-Pacific,Low income,Cropland,Ecological footprint of consumption,0.33606993
Bangladesh,Asia-Pacific,Low income,Fishing grounds,Ecological footprint of consumption,0.021618156
Bangladesh,Asia-Pacific,Low income,Forest,Ecological footprint of consumption,0.35413247
Bangladesh,Asia-Pacific,Low income,Grazing land,Ecological footprint of consumption,0.004559096
Bangladesh,Asia-Pacific,Low income,Total,Ecological footprint of consumption,0.794628274
Barbados,Latin America,High income,Built up land,Biocapacity,0.034084518
Barbados,Latin America,High income,Cropland,Biocapacity,0.063847319
Barbados,Latin America,High income,Fishing grounds,Biocapacity,0.043917094
Barbados,Latin America,High income,Forest,Biocapacity,0.018839857
Barbados,Latin America,High income,Grazing land,Biocapacity,0.00322606
Barbados,Latin America,High income,Total,Biocapacity,0.163914849
Barbados,Latin America,High income,Built up land,Ecological deficit or reserve,0
Barbados,Latin America,High income,Cropland,Ecological deficit or reserve,-0.489365749
Barbados,Latin America,High income,Fishing grounds,Ecological deficit or reserve,-0.226265136
Barbados,Latin America,High income,Forest,Ecological deficit or reserve,-2.388019032
Barbados,Latin America,High income,Grazing land,Ecological deficit or reserve,-0.285330088
Barbados,Latin America,High income,Total,Ecological deficit or reserve,-3.388980004
Barbados,Latin America,High income,Built up land,Ecological footprint of consumption,0.034084518
Barbados,Latin America,High income,Cropland,Ecological footprint of consumption,0.553213068
Barbados,Latin America,High income,Fishing grounds,Ecological footprint of consumption,0.27018223
Barbados,Latin America,High income,Forest,Ecological footprint of consumption,2.406858889
Barbados,Latin America,High income,Grazing land,Ecological footprint of consumption,0.288556148
Barbados,Latin America,High income,Total,Ecological footprint of consumption,3.552894853
Belarus,Other Europe,Upper-middle,Built up land,Biocapacity,0.080584021
Belarus,Other Europe,Upper-middle,Cropland,Biocapacity,1.380207191
Belarus,Other Europe,Upper-middle,Fishing grounds,Biocapacity,0.018151554
Belarus,Other Europe,Upper-middle,Forest,Biocapacity,1.684471114
Belarus,Other Europe,Upper-middle,Grazing land,Biocapacity,0.271239178
Belarus,Other Europe,Upper-middle,Total,Biocapacity,3.434653059
Belarus,Other Europe,Upper-middle,Built up land,Ecological deficit or reserve,0
Belarus,Other Europe,Upper-middle,Cropland,Ecological deficit or reserve,0.209659382
Belarus,Other Europe,Upper-middle,Fishing grounds,Ecological deficit or reserve,-0.076569358
Belarus,Other Europe,Upper-middle,Forest,Ecological deficit or reserve,-1.520535667
Belarus,Other Europe,Upper-middle,Grazing land,Ecological deficit or reserve,0.129373365
Belarus,Other Europe,Upper-middle,Total,Ecological deficit or reserve,-1.258072278
Belarus,Other Europe,Upper-middle,Built up land,Ecological footprint of consumption,0.080584021
Belarus,Other Europe,Upper-middle,Cropland,Ecological footprint of consumption,1.170547809
Belarus,Other Europe,Upper-middle,Fishing grounds,Ecological footprint of consumption,0.094720912
Belarus,Other Europe,Upper-middle,Forest,Ecological footprint of consumption,3.205006781
Belarus,Other Europe,Upper-middle,Grazing land,Ecological footprint of consumption,0.141865813
Belarus,Other Europe,Upper-middle,Total,Ecological footprint of consumption,4.692725336
Belgium,EU-28,High income,Built up land,Biocapacity,0.190681115
Belgium,EU-28,High income,Cropland,Biocapacity,0.397274242
Belgium,EU-28,High income,Fishing grounds,Biocapacity,0.043178824
Belgium,EU-28,High income,Forest,Biocapacity,0.275633307
Belgium,EU-28,High income,Grazing land,Biocapacity,0.032348519
Belgium,EU-28,High income,Total,Biocapacity,0.939116008
Belgium,EU-28,High income,Built up land,Ecological deficit or reserve,0
Belgium,EU-28,High income,Cropland,Ecological deficit or reserve,-0.840269391
Belgium,EU-28,High income,Fishing grounds,Ecological deficit or reserve,-0.0750704
Belgium,EU-28,High income,Forest,Ecological deficit or reserve,-4.466298615
Belgium,EU-28,High income,Grazing land,Ecological deficit or reserve,-0.384853803
Belgium,EU-28,High income,Total,Ecological deficit or reserve,-5.766492209
Belgium,EU-28,High income,Built up land,Ecological footprint of consumption,0.190681115
Belgium,EU-28,High income,Cropland,Ecological footprint of consumption,1.237543633
Belgium,EU-28,High income,Fishing grounds,Ecological footprint of consumption,0.118249224
Belgium,EU-28,High income,Forest,Ecological footprint of consumption,4.741931922
Belgium,EU-28,High income,Grazing land,Ecological footprint of consumption,0.417202322
Belgium,EU-28,High income,Total,Ecological footprint of consumption,6.705608216
Belize,Latin America,Upper-middle,Built up land,Biocapacity,0.000562586
Belize,Latin America,Upper-middle,Cropland,Biocapacity,0.537233108
Belize,Latin America,Upper-middle,Fishing grounds,Biocapacity,1.028453174
Belize,Latin America,Upper-middle,Forest,Biocapacity,2.196911298
Belize,Latin America,Upper-middle,Grazing land,Biocapacity,0.213426666
Belize,Latin America,Upper-middle,Total,Biocapacity,3.976586831
Belize,Latin America,Upper-middle,Built up land,Ecological deficit or reserve,0
Belize,Latin America,Upper-middle,Cropland,Ecological deficit or reserve,0.125028583
Belize,Latin America,Upper-middle,Fishing grounds,Ecological deficit or reserve,-1.110823486
Belize,Latin America,Upper-middle,Forest,Ecological deficit or reserve,-0.235777719
Belize,Latin America,Upper-middle,Grazing land,Ecological deficit or reserve,0.004318407
Belize,Latin America,Upper-middle,Total,Ecological deficit or reserve,-1.217254215
Belize,Latin America,Upper-middle,Built up land,Ecological footprint of consumption,0.000562586
Belize,Latin America,Upper-middle,Cropland,Ecological footprint of consumption,0.412204525
Belize,Latin America,Upper-middle,Fishing grounds,Ecological footprint of consumption,2.139276661
Belize,Latin America,Upper-middle,Forest,Ecological footprint of consumption,2.432689016
Belize,Latin America,Upper-middle,Grazing land,Ecological footprint of consumption,0.209108259
Belize,Latin America,Upper-middle,Total,Ecological footprint of consumption,5.193841047
Benin,Africa,Low income,Built up land,Biocapacity,0.044122975
Benin,Africa,Low income,Cropland,Biocapacity,0.526021063
Benin,Africa,Low income,Fishing grounds,Biocapacity,0.021470755
Benin,Africa,Low income,Forest,Biocapacity,0.309530356
Benin,Africa,Low income,Grazing land,Biocapacity,0.035140561
Benin,Africa,Low income,Total,Biocapacity,0.93628571
Benin,Africa,Low income,Built up land,Ecological deficit or reserve,0
Benin,Africa,Low income,Cropland,Ecological deficit or reserve,-0.071782174
Benin,Africa,Low income,Fishing grounds,Ecological deficit or reserve,-0.056206512
Benin,Africa,Low income,Forest,Ecological deficit or reserve,-0.290078935
Benin,Africa,Low income,Grazing land,Ecological deficit or reserve,-0.001333455
Benin,Africa,Low income,Total,Ecological deficit or reserve,-0.419401077
Benin,Africa,Low income,Built up land,Ecological footprint of consumption,0.044122975
Benin,Africa,Low income,Cropland,Ecological footprint of consumption,0.597803238
Benin,Africa,Low income,Fishing grounds,Ecological footprint of consumption,0.077677267
Benin,Africa,Low income,Forest,Ecological footprint of consumption,0.599609291
Benin,Africa,Low income,Grazing land,Ecological footprint of consumption,0.036474016
Benin,Africa,Low income,Total,Ecological footprint of consumption,1.355686787
Bermuda,North America,High income,Total,Biocapacity,0.138041268
Bermuda,North America,High income,Total,Ecological deficit or reserve,-6.640864495
Bermuda,North America,High income,Total,Ecological footprint of consumption,6.778905763
Bhutan,Asia-Pacific,Lower-middle,Built up land,Biocapacity,0.25875461
Bhutan,Asia-Pacific,Lower-middle,Cropland,Biocapacity,0.286498676
Bhutan,Asia-Pacific,Lower-middle,Fishing grounds,Biocapacity,0.013313663
Bhutan,Asia-Pacific,Lower-middle,Forest,Biocapacity,4.245713972
Bhutan,Asia-Pacific,Lower-middle,Grazing land,Biocapacity,0.338065611
Bhutan,Asia-Pacific,Lower-middle,Total,Biocapacity,5.142346533
Bhutan,Asia-Pacific,Lower-middle,Built up land,Ecological deficit or reserve,0
Bhutan,Asia-Pacific,Lower-middle,Cropland,Ecological deficit or reserve,-0.148754203
Bhutan,Asia-Pacific,Lower-middle,Fishing grounds,Ecological deficit or reserve,-0.018086441
Bhutan,Asia-Pacific,Lower-middle,Forest,Ecological deficit or reserve,0.706974631
Bhutan,Asia-Pacific,Lower-middle,Grazing land,Ecological deficit or reserve,-0.032898448
Bhutan,Asia-Pacific,Lower-middle,Total,Ecological deficit or reserve,0.507235539
Bhutan,Asia-Pacific,Lower-middle,Built up land,Ecological footprint of consumption,0.25875461
Bhutan,Asia-Pacific,Lower-middle,Cropland,Ecological footprint of consumption,0.435252879
Bhutan,Asia-Pacific,Lower-middle,Fishing grounds,Ecological footprint of consumption,0.031400104
Bhutan,Asia-Pacific,Lower-middle,Forest,Ecological footprint of consumption,3.538739342
Bhutan,Asia-Pacific,Lower-middle,Grazing land,Ecological footprint of consumption,0.370964059
Bhutan,Asia-Pacific,Lower-middle,Total,Ecological footprint of consumption,4.635110994
Bolivia,Latin America,Lower-middle,Built up land,Biocapacity,0.064734735
Bolivia,Latin America,Lower-middle,Cropland,Biocapacity,0.677363278
Bolivia,Latin America,Lower-middle,Fishing grounds,Biocapacity,0.053194296
Bolivia,Latin America,Lower-middle,Forest,Biocapacity,13.50984094
Bolivia,Latin America,Lower-middle,Grazing land,Biocapacity,2.182649876
Bolivia,Latin America,Lower-middle,Total,Biocapacity,16.48778313
Bolivia,Latin America,Lower-middle,Built up land,Ecological deficit or reserve,0
Bolivia,Latin America,Lower-middle,Cropland,Ecological deficit or reserve,0.277267451
Bolivia,Latin America,Lower-middle,Fishing grounds,Ecological deficit or reserve,0.043642249
Bolivia,Latin America,Lower-middle,Forest,Ecological deficit or reserve,12.58575897
Bolivia,Latin America,Lower-middle,Grazing land,Ecological deficit or reserve,0.506643685
Bolivia,Latin America,Lower-middle,Total,Ecological deficit or reserve,13.41331236
Bolivia,Latin America,Lower-middle,Built up land,Ecological footprint of consumption,0.064734735
Bolivia,Latin America,Lower-middle,Cropland,Ecological footprint of consumption,0.400095826
Bolivia,Latin America,Lower-middle,Fishing grounds,Ecological footprint of consumption,0.009552047
Bolivia,Latin America,Lower-middle,Forest,Ecological footprint of consumption,0.924081971
Bolivia,Latin America,Lower-middle,Grazing land,Ecological footprint of consumption,1.676006191
Bolivia,Latin America,Lower-middle,Total,Ecological footprint of consumption,3.07447077
Bosnia and Herzegovina,Other Europe,Upper-middle,Built up land,Biocapacity,0.014372216
Bosnia and Herzegovina,Other Europe,Upper-middle,Cropland,Biocapacity,0.278773635
Bosnia and Herzegovina,Other Europe,Upper-middle,Fishing grounds,Biocapacity,0.003120516
Bosnia and Herzegovina,Other Europe,Upper-middle,Forest,Biocapacity,1.127376419
Bosnia and Herzegovina,Other Europe,Upper-middle,Grazing land,Biocapacity,0.188779869
Bosnia and Herzegovina,Other Europe,Upper-middle,Total,Biocapacity,1.612422655
Bosnia and Herzegovina,Other Europe,Upper-middle,Built up land,Ecological deficit or reserve,0
Bosnia and Herzegovina,Other Europe,Upper-middle,Cropland,Ecological deficit or reserve,-0.339116223
