location,sex,age,cause,value
Bahrain,Female,All ages,Cardiovascular diseases,29.98
Bahrain,Both,20 to 29,Transport injuries,30.55
Bahrain,Male,70 to 79,Cardiovascular diseases,31.92
Bahrain,Both,60 to 69,Cardiovascular diseases,32.32
Bahrain,Both,50 to 59,Cardiovascular diseases,32.5
Bahrain,Female,60 to 69,Cardiovascular diseases,32.66
Bahrain,Male,60 to 69,Cardiovascular diseases,32.69
Bahrain,Male,40 to 49,Cardiovascular diseases,32.75
Bahrain,Both,70 to 79,Cardiovascular diseases,33.57
Bahrain,Male,80 to 89,Cardiovascular diseases,34.76
Bahrain,Both,80 to 89,Cardiovascular diseases,35.83
Bahrain,Female,50 to 59,Cancer,35.94
Bahrain,Male,50 to 59,Cardiovascular diseases,36.04
Bahrain,Female,70 to 79,Cardiovascular diseases,36.55
Bahrain,Both,10 to 19,Transport injuries,36.84
Bahrain,Male,20 to 29,Transport injuries,37.66
Bahrain,Female,80 to 89,Cardiovascular diseases,38.43
Bahrain,Female,10 to 19,Other non-communicable diseases,40
Bahrain,Female,30 to 39,Cancer,40
Bahrain,Male,0 to 9,Maternal and neonatal disorders,42.5
Bahrain,Both,90+,Cardiovascular diseases,42.85
Bahrain,Both,0 to 9,Other non-communicable diseases,43.37
Bahrain,Female,40 to 49,Cancer,46.66
Bahrain,Female,90+,Cardiovascular diseases,46.66
Bahrain,Male,90+,Cardiovascular diseases,47.61
Bahrain,Male,10 to 19,Transport injuries,47.82
Bahrain,Female,0 to 9,Other non-communicable diseases,51.51
Bangladesh,Both,20 to 29,Cancer,12.17
Bangladesh,Male,20 to 29,Transport injuries,14.5
Bangladesh,Both,10 to 19,Enteric infections,15.4
Bangladesh,Female,10 to 19,Enteric infections,17.2
Bangladesh,Male,10 to 19,Unintentional injuries,18.83
Bangladesh,Female,30 to 39,Cardiovascular diseases,20.02
Bangladesh,Both,30 to 39,Cardiovascular diseases,24.34
Bangladesh,Female,20 to 29,Maternal and neonatal disorders,26.03
Bangladesh,Male,30 to 39,Cardiovascular diseases,27.52
Bangladesh,Female,40 to 49,Cardiovascular diseases,29.54
Bangladesh,Both,40 to 49,Cardiovascular diseases,35.44
Bangladesh,Female,50 to 59,Cardiovascular diseases,36.18
Bangladesh,Female,All ages,Cardiovascular diseases,37.98
Bangladesh,Both,All ages,Cardiovascular diseases,38.22
Bangladesh,Male,All ages,Cardiovascular diseases,38.41
Bangladesh,Male,40 to 49,Cardiovascular diseases,39.86
Bangladesh,Female,0 to 9,Maternal and neonatal disorders,40.3
Bangladesh,Both,50 to 59,Cardiovascular diseases,41.71
Bangladesh,Male,80 to 89,Cardiovascular diseases,44.41
Bangladesh,Male,70 to 79,Cardiovascular diseases,44.82
Bangladesh,Both,0 to 9,Maternal and neonatal disorders,45.21
Bangladesh,Male,50 to 59,Cardiovascular diseases,45.7
Bangladesh,Female,90+,Cardiovascular diseases,45.73
Bangladesh,Both,80 to 89,Cardiovascular diseases,45.76
Bangladesh,Both,90+,Cardiovascular diseases,46.33
Bangladesh,Male,90+,Cardiovascular diseases,46.86
Bangladesh,Male,60 to 69,Cardiovascular diseases,47.1
Bangladesh,Both,60 to 69,Cardiovascular diseases,47.32
Bangladesh,Female,80 to 89,Cardiovascular diseases,47.43
Bangladesh,Female,60 to 69,Cardiovascular diseases,47.67
Bangladesh,Both,70 to 79,Cardiovascular diseases,48
Bangladesh,Male,0 to 9,Maternal and neonatal disorders,49.59
Bangladesh,Female,70 to 79,Cardiovascular diseases,52.14
Barbados,Male,30 to 39,Interpersonal violence,21.73
Barbados,Both,30 to 39,Cancer,25
Barbados,Male,40 to 49,Cardiovascular diseases,27.08
Barbados,Male,All ages,Cancer,28.79
Barbados,Both,All ages,Cardiovascular diseases,29.35
Barbados,Male,80 to 89,Cancer,29.83
Barbados,Both,70 to 79,Cancer,31.2
Barbados,Male,50 to 59,Cancer,31.25
Barbados,Female,All ages,Cardiovascular diseases,31.83
Barbados,Both,10 to 19,Interpersonal violence,33.33
Barbados,Both,20 to 29,Interpersonal violence,33.33
Barbados,Both,40 to 49,Cancer,33.33
Barbados,Male,10 to 19,Interpersonal violence,33.33
Barbados,Female,70 to 79,Cardiovascular diseases,33.51
Barbados,Male,90+,Cardiovascular diseases,33.6
Barbados,Both,80 to 89,Cardiovascular diseases,34.39
Barbados,Male,60 to 69,Cancer,35.05
Barbados,Male,70 to 79,Cancer,35.34
Barbados,Both,60 to 69,Cancer,36.22
Barbados,Both,50 to 59,Cancer,37.4
Barbados,Both,90+,Cardiovascular diseases,39.01
Barbados,Female,80 to 89,Cardiovascular diseases,39.08
Barbados,Female,60 to 69,Cancer,39.91
Barbados,Female,90+,Cardiovascular diseases,42.79
Barbados,Male,20 to 29,Interpersonal violence,46.15
Barbados,Female,50 to 59,Cancer,50.96
Barbados,Female,40 to 49,Cancer,55.26
Barbados,Female,30 to 39,Cancer,63.63
Barbados,Both,0 to 9,Maternal and neonatal disorders,70.37
Barbados,Female,0 to 9,Maternal and neonatal disorders,75
Barbados,Male,0 to 9,Maternal and neonatal disorders,76.92
Barbados,Female,20 to 29,Cancer,100
