Id,Percent,Context
11,4,"Duiker and Sormo E'nath witness a conjuring of a Seer and a cripple. The manifestation involves Dryjhna, the promise of Apocalypse, and two women of the same blood feeding each other in ignorance."
12,7,"Duiker meets Coltaine, Bult (Coltaine's uncle and second in command) , Mallick Rel, Kulp (the last remaining cadre mage of the seventh) and Sormo E'nath (Coltaine's top Wickan warlock) on their first official meeting where we learn that Bult almost killed Duiker in the past, getting a nasty scar in the face from Dujek in response, while Bult's horse bit Dujek's arm (resulting in losing the limp). Mallick Rel passes the order from High Fist Promqual for the 7th to march to Aren for inspection, as well as for the fleet (led by Admiral Nok) to do the same. Bult (so that Coltaine avoids a direct conflict) treats him as a message boy, states the orders are not sound tactically, proposes a change of plans and dismisses Mallick until there is a response from Promqual. Duiker explains that despite not having oficial authority, Mallick is the main governing authority in the area (top dog of a collection of merchants who have been ruling the continent even before Promqual took over 4 years ago), that by dismissing him they made him an enemy, and his enemies tend to disappear. Coltaine asks Duiker to investigate Mallick, Duiker hesitates and so Coltaine decides to keep Duiker close instead."
13,7,"We learn from Bult that although Lassen ordered the execution of all Wickan warlocks, crows collected their spirits and powers and brought them to youths for the warlocks to be reborn. 11 crows carried the spirit of Sormo, the greatest warlock, into this kid who is about ten years old. Kulp confirms his power is one of an elder powerful warlock."
14,7,"We learn that a lot of the old guard (Cartheron Crust, Urko, Toc the Elder, Ameron) have reportedly drowned without their bodies ever been found. Bult makes an argument that although some might assume that these disappearances were assasinations by Laseen, in truth it could be the case that Laseen is being abandoned by her most experienced commanders. Duiker argues that is only natural after the assassination of the Emperor by her hand, and Bult again counters that she was probably best positioned to see how Kellanved and Dancer were unfit for ruling an Empire."
15,8,"While the Red Blades are masscrying people on the streets of Ehriltan, Fiddler rescues two young girls and returns them home. Their grandfather happens to be Kimloc, a Tanno Spiritwalker, legend of empty promises as he once said he could wipe out the entire Malazan army but instead choose peace and opened up the gates of Karatarang during the conquest. He now gives Fiddler a conch embued with some protective powers as a thank you, and offers to learn Fiddler's story by touching him in order to compose a song for the bridgeburners, but Fiddler declines the touch that would give the Spiritwalker access to all of Fiddler's memories."
16,8,"D'ivers and Soletaken (different kinds of shapeshifters) are converging in the Path of Hands. They hope the Path leads to a gate and passage through the gate offers ascendancy, so all shapeshifters with hopes to ascend are converging. Such ascendancy might even allow one shapeshifter to rule over all the others. Various sources confirm all this including Icarium & Mappo, Sormo E'nath, and Kimloc the Tanno Spiritwalker."
17,9,"There are apparently a host of symbols all around Seven Cities as part of a communication system used by the locals. Duiker is concerned that no-one from the Malazans know how to read them, and that no-one thinks it would be useful. Kalam, a local himself, is concerned that they have mutated enough that he might not understand them well enough anymore, but is reassured by the spy Mebra who claims most new ones are just for misdirection. Mebra owns a debt to the Bridgeburners and helps Kalam as a repayment. Among the symbols are also some inhuman hands that rattle Fiddler and Kalam."
18,9,"Kalam meets up with a spy named Mebra and takes from him the book of Dryjhna (alegedly stolen from the Empire's vaults) to deliver it to Shaik herself that is prophesied to start the Whirlwind of the Apocalypse. Kalam hopes the book will grant him safe passage through the rebellious territory. It is then revealed that Mebra was actually working with a group of Red Blades (Tene Baralta, Lostara Yil) and their plan is to follow the carrier of the book and assassinate Shaik."
19,10,"Icarium and Mappo are attacked by a dozen leopard D'ivers who they kill but Mappo gets injured, and the injury gets infected while Icarium loses his memory of the incident. They later meet Messremb, a Soletaken, who Mappo knows from old. They warm him that Rhyllandaras is on the same path and part ways peacefully."
20,10,"Mappo and Icarium meet Iskaral Pust, High Priest of Shadow in an old temple that was previously dedicated to the Queen of Dreams. Iskaral was expecting them. He is also in the company of Servant, a gift from Ammanas - a life saved for a life taken. Servant evidently has an old and a new (pink) hand."
21,10,"We have been repeatedly informed of a spicy smell that is connected with D'ivers and Soletaken. Once with Fiddler and Kalam encountering the sea monster, and again with Mappo and Icarium encountering Messremb."
22,12,"Felisin, Heboric, and Baudin stick together in the slave ship and on the island with the otataral mines where they arrive. Felisin starts selling her body, on the boat and the island, in exchange for food and other conveniences for her and her companions. In the mines, Skullcap, she is taken under the protective wing of Beneth, who although a slave himself, is considered the master of the slaves and has connections with the local guards. This provides various benefits to Felisin and her companions."
23,12,"The Red Swords is an organisation formed of Seven Cities locals, loyal to the Empire who believe the upcoming rebelion should be crashed with much more decisiveness and brutality than the Empire currently employs, and they are happy to take the initiative and act on their convictions, even against the local Malazan command's wishes. Fiddler encounters them in such an act of brutality when they randomly attacked citizens in the roads of Ehriltan. Kulp, and then some of 7th's soldiers interupt and prevent a similar event in Hissar. We also see that Red Blades are responsible for attempting to assasinate Shaik by helping deliver the book of Dryjhna to her and ambushing her."
24,13,"Coltaine trains the 7th army in city battle, playing out scenarios like protecting refugees, withdrawing with civilians and so on."
25,15,"As Felisin gets increasingly addicted to durhang, her life becoming a blur, Heboric loses respect for her, and Beneth becomes less interested in her, treating her worse and keeps using and gifting her. Meanwhile, Baudin becomes an important asset for Beneth and his operations. When Baudin is seen breaking the curfew, he gets arrested and Beneth tries to buy information for his arrest by offering Felisin to captain Sawark. Sawark turns white on the offer, seemingly recognising her. Beneth becomes suspicious, confronts her, she lies that she was training to be Fener's priestess, Beneth beats her and leaves her on the street. Heboric finds Felisin the next day lying on the ground, takes her back to their home and nurses her. Baudin manages to escape, and goes into hiding."
26,14,"Icarium finds in Iskaral's library various very expensively made books about seemingly trivial subjects and ponders over what civilisation might have produced them. They are all written in an ancient language resembling the Seven Cities lunguage Which Icarium can read surprising Mappo. Icarium thinks it's the same civilisation that built all these rooms around Raraku and Pan'potsun Odhan, perhaps even the first human civilisation. The books a twisted stuff symbol on their spine which triggers a memory in Mappo where himself and some elders approach a group of hooded humans called the Nameless Ones who hold staves that visibly twist."
27,15,"A local malazan guard, Pella, warns Beneth that most guards in the island are Dosii and have become relaxed almost giving up on their duties, asking Beneth to pass the message to Captain Sawark. A couple of weeks later Beneth gives a similar warning to Sawark confirming that many soldiers have been heard to claim they will join the Whirlwind but Sawark seems indifferent."
28,16,"A storm forces Kalam to stop at a Malazan keep, Ladro keep, for shelter. The local guard see him suspiciously and he is forced to show them a Claw emblem to gain their trust and stop their questioning. Lostara arrives with a fellow soldier incognito without raising suspicion from Kalam. She thinks that Kalam conspired with the local guard and so kills the whole lot on her way out the next day to resume following Kalam."
29,16,"After being insulted, a merchant's wife throws a deck of dragons at Kalam, which falls down and gets arrayed with the Rope in the center and various cards of High House Death surrounding him."
30,17,"Underneath Iskaral's temple, Mappo and Icarium find an older structure predating the temple above, predating the Queen of Dreams temple, and built in different stone. They explore going through a blocked entranceway. The place resembles an old forest with trees arrayed. Icarium sniffs that the trees were transferred here centuries ago, via a warren resembling Kurald Galain but somehow corrupted. They find a room filled with tiles with engravings most of which scratched and partly destroyed. The room stinks of old sorcery and an additional magical scent, that of shapeshifting, D'ivers and Soletaken. Mappo and Icarium come to the conclusion that here lies the gate at the end of the Path of Hands and wonder if Iskaral awaits shapeshifting visitors soon."
31,18,"Sormo E'nath attempts a ritual to connect with spirits of the land in a holy place and invites Duiker, Kulp, and Bult to attend it. He believes the spirits are ancient, before seven cities time, belonging to Tellan. With the ritual they all arrive in Tellan where they are assaulted by numerous D'ivers and Soletaken, who are also fighting each other, and a black demon who seems to try to protect them by fighting the shapeshifters. They manage to escape by punching and therefore waking Sormo. Upon returning Sormo admits that one crow within him lies broken and ten remain. He also admits they unfortunately fell upon the Path of Hands, a convergence of shapeshifters, possibly thinking Tellan would provide a safe passage."
32,13,"Fiddler and Kalam have a disagreement right before they split up. Kalam seems eager to use the apocalypse to further hurt Laseen's position while Fiddler feels more loyal to the Empire, and hence is in support of maintaining it strong, even if he feels opposed to the particular Empress."
33,13,"Crokus struggles to understand why Kalam split up from them, but they are still all headed to the same place. Part of Fiddler's rationalisation is that this way they increase their chances that at least one of them will make it and Crokus comes to believe that in such a case Apsalar might have to play the role of the assassin as he cannot see Fiddler being up for assassinating the Empress himself."
34,13,"In the Seven Cities continent, a rebelion has been prophesised to occur. Shaik, sometimes called a Seer, is prophesised to lead it. Shaik is based in Raraku, the holy dessert, the dessert also being associated with Dryjhna some kind of fire aspected deity, who is also called the Apocalyptic, or the Wirlwind godess. The heart of Dryjhna is said to be held in the book of Dryjhna, which is why the book needs to be opened by Shaik in order for the Apocalypse to be kicked off. Rebelion, the Apocalypse and the Whirlwind generally refer to the same thing and will be used interchangeably."
35,19,"The massacre of civilians in Aren by Tlan Imass comes up twice in conversations with Fiddler. Once with one of Kimloc's guards, and again with Fiddler and Apsalar. Apsalar claims that the order came from Laseen, that Dancer went to investigate, had a private meeting with her and should have killed her but didn't. It then becomes apparent to Fiddler and Crokus that Dancer became the Rope and Kellanved Shadowthrone. When confronted by Fiddler, on why did Dancer not make himself known to old friends and allies such as Whiskeyjack, Dujek, Kalam etc, when the Rope possessed Apsalar, Apsalar claims Dancer only ever trusted two men, Kellanved and Dassem. Dassem was dead, and Kellanved became less trustworthy after ascending."
36,19,"Fiddler, Crokus and Apsalar continue their journey disguised as newly wed pilgrims with their Gral guard (Fiddler), and go through a series of violent incidents with Fiddler's horse biting off the face of a soldier and the whole team taking down a few would be rapists. All happening in and around Gdanisban that has recently been liberated by the rebelion and in the midst of a massacre of the local Malazan population. They managed to escape reprocrussions and maintained their disguise but got appaled by the violence."
37,20,"Kalam gets surprised, immobilised, and thrown from his horse by Shaik's bodyguard, the Toblakai. Shortly after, he delivers the book of Apocalypse into the hands of Shaik. Even though he refuses to join the ranks of the rebellion, Shaik foresees some value in him and his mission and gifts him an aptorian demon as a companion (Apt). A demon originally sent by Shadowthrone and taken over by Shaik."
38,20,"To follow the prophecy, Shaik sat down at dawn, opened the book of the apocalypse but suddenly died by a quarrel shot by Lostara Yil. The dozen Red Blades then attacked Shaik's two bodyguards, were driven back, and eventually retreated taking heavy losses. Tene Baralta orders Lostara Yil to keep following Kalam, while he heads to Pan'Potsum to spread the word of Shaik's death."
39,22,"The Dosii guards attack Beneth and his men as well as the Malazan guards, and in the confusion Pella reunites Felisin with Baudin and Heboric and urges them all to use the occasion to escape. They have an escape plan, route, and some food/equipment left for them so they can make it through swimming and crossing the nearby desert. It is reveailed that Duiker is responsible for the rescue even though he wasn't that close with Heboric, and in spite the fact Heboric had severely criticised the man and his histories. Heboric admits he owns the man an apology. On their way they see the Dosin plain in flames, an indication of a conflagration, and that the Whirlwind has been unleashed."
40,22,A swarm of bugs attack Felisin that bite and leave larvae in the skin that must quickly get eradicated. She treats the bites in time to save her life but she will probably be permanently scared.
41,24,"Duiker asks Kulp to help him rescue Heboric. Kulp agrees and they travel to a small coastal town to acquire a boat. There they meet a small Malazan garrison that is getting overwhelmed by a rebellious mob backed up by a female High Mage. Kulp and three soldiers, Stormy, Gesler and Truth, scarcely survive the exchange, board a ship, and since nearby Hissar seems to be in flames decide to head straight to Heboric's rescue. The fact that the three soldiers happen to be part of a Fener cult helps. Duiker decides to remain back, disguised as a local (as we have seen him doing before) and ride back to seek Coltaine."
42,27,"By the time Duiker returns in Hissar hostilities have stopped. Coltaine's forces seemingly made a stand and retreated with ten thousand refugees, moving south. The rebels, led by the high mage Kamist Reloe, outnumbered the Malazans seven to one and remain in persue. Coltaine is expected to meet and get burdened by even more refugees, before being circled and his whole force massacred. It's all expected to happen in the next few days. But as Duiker follows the trail it becomes clear that Coltaine won the first round of hostilities, and the rebels will need to regroup."
43,27,"Felisin, Heboric and Baudin, encounter a huge jade pillar that seems to be a finger, with a second finger just visible underneath the sand. Heboric touches it causing sustained pain, and some kind of inflammation."
44,29,"Heboric's tattoos seem to be moving and expanding. Felisin explains that there is a center piece to the pattern which is like a key to the boar God. In his hands there used to be another pattern and combining the two the priest had access to the boar god's warren, with something like a hand to the chest move. By cutting of his hands the priesthood ensured Heboric would never have the same privilege. However, as the tattoos keep moving and expanding it is clear that the ex-priest has not lost favour with the god himself. As Heboric, being the oldest of the three, soon gets exhausted by crossing the desert and falls unconscious, Baudin searches for that key in the hope of getting Fener's attention enough to save Heboric's life and touches Heboric's stump with his chest. They all get knocked out as apparently Fener himself steps on the mortal realm and flees. They believe he stepped through unwillingly, and that he is made vulnerable by doing so. On the bright side, Heboric feels rejuvenated after the incident."
45,30,"Fiddler, Crokus and Apsalar, are fleeing approaching members of a Gral tribe that threaten to undo their disguise (Fiddler pretending to be Gral). They get caught up in the storm that is the Whirlwind where numerous D'ivers and Soletaken fight each other around them and to the storm they are unable to outpace them. One of the beasts pushes Fiddler off his horse and stumbles on him crashing an ankle and several ribs. A D'ivers named Gryllen, in the form of thousand rats, known to Fiddler because he escaped Y'Ghatan's flames during the conquest, is about to attack them but at the last minute Icarium and Mappo intervene and take the group under their protection."
46,31,Heboric's tattoos have grown to the point that he appears to be completely black.
47,31,"As Felisin had grown affectionate for Beneth, she now blames Baudin for abandoning Beneth while they escaped, adding another layer to their already strained relationship. As the three of them reach the shore, Felisin has no hope of being rescued, and anticipates imminent death as they are running out of water. She resolves to at least avenge Beneth as a last act of defiance. She offers to sleep with Baudin and attempts to kill him with one of his own daggers when he falls alseep. Baudin anticipates this, stops her and retrieves the weapon. So instead of being used, Baudin uses her instead. Baudin is testing her to see whether Felisin will go through with her plan, to see if she has changed. Baudin also reveals he killed Beneth himself before they left because he deserved it."
48,31,"Although Felisin felt Baudin and Heboric almost as family through the whole ordeal, Felisin starts developing bad feelings for them both. With Heboric it starts from his contempt about Felisin's choices (prostitution, durhang addiction) and with Baudin with some distrust as he seems to keep hiding secrets. The feelings get worse as she feels that both owe her their lives for the various favours she managed to get for them. With Felisin growing affectionate towards Beneth, this distrust develops to pure hatred for Baudin as he apparently killed instead of saving Beneth on their escape from Skullcap. As a result, following their escape Felisin will always take up an opportunity to talk down or wound the other two, becoming fairly cruel."
49,32,"Upon meeting Heboric, Kulp, with his warren assisted vision, sees a ghost hand, his left, gripping Fener's warren, while on the right hand two powers seem in conflict, one red, otataral, the other green, an alien power surprisingly withstanding otataral."
50,33,Gesler and Stormy are old Malazan veterans (marines) that were left to guard a small garrison probably for their involvement in a cult of Fener. Cool-headed and quick in adapting to horrors. Truth is the newest recruit to the cult.
51,33,"Upon reaching the coast to find Heboric, Kulp and the others had to go through a sorcerous storm, conjured by a mad wizard, with Kulp providing sufficient protection for many hours in order to reach the shore. Kulp believes that the wizard was probably a victim of otataral's influence, probably a prisoner himself, who upon opening his warren was consumed with its chaotic madness and did not anymore maintain any control over it. In any case the sorcerous storm is extremely powerful and random. Hoping that Heboric and his weird connection with otataral will provide sufficient protection from the storm, Kulp argues to go ahead, but Heboric's protection proves to be insuficient. They swiftly get caught in the storm and are transported inside a warren where their boat starts sinking in some kind of water of milk-thick consistency. Stormy gets a severe wound in the process, and Baudin hurts his hands by holding on to Truth saving his life. Heboric manages to heal Stormy by touching his wound with his God touched hand. Kulp notices something beyond healing being passed on. Stormy's wound closes and some tattoos appear. Baudin refuses a similar healing and ends up with a bandaged hand. Just before their boat sinks they find an old abandoned ship nearby, from Quon, pre-imprerial, and get abroad. Baudin recognises the ship as Silanda, the only Quon ship sanctioned to trade with Drift Avali."
52,34,"What appears to have happened in the “Silanda” is the following: a small group of Tiste Edur (four of them?) took control of the vessel, beheaded all of the crew (Tiste Andii and humans) and put their corpses at work. Lots of corpses are downstairs as if ready to oar, their heads inside sealskins scattered all around. Both corpses and heads perfectly preserved. Then the four Endur probably met something even nastier that killed them all - three look like crashed and twisted, the fourth, presumably the captain, killed by a spear that looks like barghast, but much bigger. On the captain's table various maps were scattered depicting lands that Kulp does not recognise. Gesler takes from the dead captain a bone whistle and by using it the oarsmen get to work, and all the heads start staring at him."
53,35,"Mappo and Icarium take Fiddler, Apsalar and Crokus back to the temple of Shadow where Iskaral Pust, with some help from Mappo, heal Fiddler's many wounds: a shattered ankle (Iskaral put him on surgery to save the leg), punctured lung, broken ribs."
54,36,"Through the ever confusing musings of Iskaral Pust is revealed that Fiddler's plan is to reach Tremorlor. Fiddler explains Quick Ben's belief that one of the hidden ways of Raraku (roads only visible when the wind is right), leads to Tremorlor, a fabled Azath house existing somewhere in the dessert. It is also Quick's belief that one can enter such houses (like Kellanved nad Dancer entered the Deadhouse) and that the houses communicate and indeed one can be transferred from one to another almost instantaneously. So the plan is to go in Tremorlor and get out through the Deadhouse in Malaz city which is a half day sail away from Itko Kan and Apsalar's old village. Mappo and Icarium agree to accompany them on this trip. Pust also claims they do not need to worry about Apsalar getting repossessed as Anomander's threat, and therefore protection, still stands. Pust, however, seems concerned about Apsalar's lingering abilities. Finally, Pust makes a lot of predictions about what each one will find in this trip to Tremorlor and also mentions the Chain of Dogs, the Whirlwind's ability to battle it and more. He eventually vanishes while everyone feels like they have been heavily influenced by his ramblings, almost like being under a spell, ""magic powerful enough to drive gods to their knees"" in Icarium's words. Fiddler expresses the feeling of all of them being players in a vast game driven by unseen hands. "
55,38,"Kalam encounters a small group of locals claiming to be part of the Apocalypse, shortly after they have attacked a small group of refugees. As they go back at night to finish them, Kalam joins in with the refugees and kill the bandits. The refugees turn out to be captain Keneb, the wife, Slev, the wife's sister Minala, and two kids. Keneb knows Kalam by name. They go back to finish off the last bandit left behind to guard the livestock. The bandit has company, and Kalam single handedly kills all 8 of them awing Minala. Apt also killed a couple but stayed out of sight. Through the various exchanges Kalam learns that Kamist Reloe is in charge of an area to the South East and is going after Coltaine. South, there is another army under Korbolo Dom who was a Fist until he married local royalty and turned renegade. Korbolo had to put down almost half of his men for not wanting to follow him going rogue. Now he prepares to attack Aren, which apparently is the only major city not already taken by the Apocalypse. The bandits' also spoke of a Jhistal (some kind of priest to Mael, also used by Duiker to address Mallick Rel) as an ally in the city. Kalam remembers Korbolo as a superb tactician, but too bloodthirsty. He was the replacement of Whiskeyjack for a while."
56,39,"A group of Logros T'lan Imass appear on board of the Silanda. They were hunting. They mistake everyone on board for followers of the Chained One, and contemplate killing them but reconsider. They seem to be following kin, probably the ones who killed the Tiste Edur. Hendos Ilm, a bonecaster, kills the otataral mad sorceror and the tempest resolves, showing clear skies and a rent in the sky expanding. One of the T'lan, Legana Breed, a clanless, volunteers to seal the rent with his soul. But looks like he also took one of the Tiste heads along for the ride. Just before doing so he gifts his sword to Stormy. We also learn the group is in Kurald Emurlahn which was recently flooded. Kurald Emurlahn is an elder warren that Kulp did not recognise even though it's the parent plane of Meanas, Kulp's own warren."
57,41,"It took Duiker 3 months to catch up with Coltaine but he finally joined him near the Sekalta river. The Fist was surrounded by enemy forces, and was preparing to cross the river. A new regime of marines had joined him (after their ship broke down near Hissar) with captain Lull leading them. He is harbouring around 30 thousand refugees. Coltaine has been pushing everyone hard to keep moving with minimal rest. We also learn from Sormo that the Path of Hands has pretty much rendered the warrens in the area useless which has prevented Kamist Reloe from using his power against them."
58,44,"Coltaine faces the two armies flanking him and emerges victorious. Duiker witnesses the conflagration with List appointed as his personal detouche. A few things that contributed to their victory were the warlocks' awakening of local spirits that materialised by spreading horror on anyone stepping in a small forest, and with an ancient undead army that attacked the Apocalypse armies (to little effect other than the shock factor and buying time), the marines who laid a road to assist movement along the river shallows, and then blowing up the whole thing to flood it while enemies were crossing, the Wickan's impeccable timing, and warlocks providing the communication among the companies to coordinate everything. They had of course significant losses, primarily with Lull's marines, the Weasel clan, and the 7th. The small Red Blades company made a heroic last stand, and two warlocks were lost as well. The detonation that flooded the river effectively separated Kamist Reloe's army from Coltaine. Kamist will now probably have to walk for days before finding another passage. But the other army icluding the Guran infantry and the Semk remain close. The initial plan to head to Ubaryd is adandoned as the city seems to be taken, and the next plan is to head to Aren."
59,44,"The tribe of Semk is also part of the Apocalypse army and is driven by a Semk God, a powerful old ascendant. Sormo informs them that the ascendant uses the bodies of his devotees to channel his rage, indiffirent that the practice disintigrates many of the wizards. Coltaine tells him to take more drastic measures. The same night Duiker witnesses a ritual carried out by Sormo, Nil and Nether. They are transformed in an icy landscape, result of a Jaghut ritual that has imprisoned numerous human and other bodies and body parts in varying degrees of decomposition. Among them is also the Semk God boiling in rage. The warlocks help releasing him so that the local spirits can feed on him, removing the threat of the Semk god and gaining additional favour with the local spirits at the same time."
60,45,"Kulp tries to transfer them out of the flooded realm, to Meanas and then their own world, but one of the problems is that such travels should follow some basic rules such as moving from sea to sea, land to land etc, and he cannot find any bodies of water in Meanas. Suddenly, he feels an immensely powerful being passing through (he can only compare its power to Anomander or Osric, and he should know of others of such power) in the form of an ancient looking undead dragon, visibly larger than Anomander, and he attempts to ride the current left behind its path (shadows feel more solid here). He opens a rend that gets larger by being in the vacuum of the dragon's path, and the weight of the ship and the water following it. The weight of the water keeps stretching it and he is afraid of having caused a catastrophic event for Meanas. He tries to seal the rent, and only manages to do so after the dragon lends him some help. Following the dragon's attention comes some other ascendant's attention followed by others as well. According to Stormy, the mage was levitating in blue flames during the incident."
61,46,"The undead dragon plunges into an unknown warren full of fire and Silanda involuntarily follows. Baudin trying to save Felisin, grabs her, runs, and jumps off the ship landing somewhere in Raraku. Baudin, believing he would be obliterated by the fire is startled to find out he is alive and the fire instead of incinerating him, merely tempered him. They find Kulp and Heboric nearby. The three marines went under deck in the Silanda during the incident and are presumed dead."
62,46,"Kulp finally confronts the party about who Baudin really is. It is uncovered that he was sent as a bodyguard to Felisin, himself a Talon. Talons where an undercover group of assassins started by Dancer. Following Dancer's apparent death, Laseen turned her claws against the Talons, the claws won, Lassen became empress and the Talon is considered dead and gone. But a handful survived, and some pased the secret art to their sons, along with the knowledge that Dancer and Kellanved ascended instead of dying. Baudin is one such son. Felisin muses that her sister probably tried to reach such an undercover organisation for this so that no one would know. Baudin should probably have left Skullcap with Felisin much sooner, if only Felisin wanted to leave. Upon finding out, Felisin sents Baudin away."
63,47,"Iskaral Pust allegedly learned from a reading of the Deck of Dragons that Shaik was assassinated by a group of Red Blades, and as a result Mappo and Icarium went out in search of her body before coming across Fiddler and the others. Mappo is concerned that Iskaral might want to use Apsalar to complete the prophecy of a Shaik reborn. Fiddler share his concern again of being caught in a plan that will soon result in his death, and that while he can usually avoid such danger, he is now unsure. Mappo goes on to explain that in the basement lies a room with tiles on the floor resembling a deck of dragons, but older, probably depicting holds not warrens. And he believes there lies the gate that the shapeshifters seek while Iskaral is trying to distract them from the true path. Fiddler suggests that Iskaral might be trying to keep Mappo and Icarium close as a last defense in case the shapeshifters find them."
64,47,Mappo admits to Fiddler that his mission is to prevent Icarium from uncovering his past and Fiddler marvels at how can a friendship like theirs stand. Icarium remaining generous even when he is being denied to progress (being striped from his memories) and Mappo remaining visibly sad by preventing his companion this progress.
65,48,Mappo and Icarium come to the conclusion that Servant is probably Apsalar's father. He had been hiding from her and now rides out into Raraku alone. They assume Iskaral itends to use him as leverage to push Apsalar into becoming Shaik. And so they all ride after Servant into Raraku.
66,47,Fiddler gets a feeling that in a strange way Iskaral Pust reminds him of Quick Ben. The endless schemes and plans within plans within plans.
67,48,"Mappo is carrying a weapon made of a long bone of an unknown beast and enchanted by seven Trell witches, a weapon of great power which he rarely uses. He is also in the possession of a pack that opens up to a small warren which is effectively endless allowing him to store there a horde of things, including various people he put in there in fits of anger and he never saw again. The enchantment was supposed to only last weeks or months but has now lasted centuries."
68,48,"Icarium tries to confront Mappo about his lost memories, as a lot of his past should exist as Mappo's memories. Apparently this is a recurring theme between them. But this time Icarium takes it one step further by wondering wether Mappo himself has something to do with the hidden truths of his past."
69,47,"Bhok'arala, are small winged monkey-like creatures with human-like faces. They are everywhere in the Shadow temple and apparently properly worship Iskaral as their god, making offerings, following rituals and so on, while Iskaral himself is chasing them, throwing them rocks which are then collected as holy."
70,48,"Crokus is becoming over-protective of Apsalar, showning anger every time there is a hint of someone hoping to use Apsalar and her skills for their ends. He has also been training with his knives showing some improvement in Fiddler's eyes."
71,49,"Kalam, along with his small Malazan retinue, are unable to pass Korbolo Dom's army so Kalam decides to use Quick Ben's gift which transports then all into the Imperial Warren. His aim is to reach Aren this way. Kalam did not expect the warren to be reaching that far from Unta. Shortly after, Lostara Yil meets the Claw Pearl and together they step through the same portal to follow them."
72,49,"The outskirts of Korbolo Dom's army is lined by crucified Malazans, many of which are children. Kalam wants to help them but feels powerless to do so. Apt gathers up 1300 children from the crosses and takes them to the Shadow realm where Shadowthrone eventually agrees to adopt them and heal them. Apt is female and used to be the concubine of an Aptorian demon lord. Apt claims one child as her own, Panek, who rides her and together they follow Lostara and Pearl into the Imperial Warren."
