Id,Percent,Context
42,49,Paran and Toc encounter the burned remains of Tattersail and Bellurdan. Toc notices small tracks leading away from the site as if something fled. Paran blames Tayschrenn and Lorn for this and vows revenge.  
43,51,"In another dream, Kruppe meets Pran Chole, a bonecaster of the T'lan Imass, a heavily pregnant Rhivi woman and K'rul. K'rul has been guiding the soul of Tattersail who is now trapped in the body of Nightchill and summoned the rest to aid him. The plan is to get her reborn as a Soletaken (a shapeshifter).  "
44,53,"Crokus meets his uncle Mammot, who is a historian and is intrigued by the idea of studying and becoming known in the upper social classes of Darujhistan, having the young D'arle in mind. Mammot also informs him how Darujhistan was founded - born from a rumour. Rumour had it that a Jaghut (one of the elder races) was buried nearby, and people flocked the hills in search of his tomb and hidden riches. The tomb was never found, but the settling camps grew into a city. "
45,54,"In Darujhistan, Whiskeyjack splits his squad into two teams with two objectives. Kalam and Quick Ben are to contact the local assassin's guild and offer a contract for the city's rulers. This seems to be standard procedure for the Empire. The rest of the squad is to take the guise of street workers and start planting mines on major intersections of the city.  "
46,54,"Sorry marks Kruppe as someone important and follows him. Kruppe leads her to the Phoenix Inn. where she murders the guard to get in undisturbed and is marked as having done so by Crokus, Meese and Irilta. Sorry notices that Crokus is the coin-bearer.  "
47,57,"Quick Ben manages to enter the Shadow realm from chaos and meet Shadowthrone. He strikes a deal to be freed from the Rope's promise of death (because he left Shadow cult) in exchange for giving Shadowthrone his quarry, Hairlock, at a time of his choosing. Shadowthrone agrees, and only later realises that Quick Ben actually is Adaephon Delat, an ex-high priest of Shadow, and has therefore been tricked. "
48,57,"Crone informs Baruk that two powers from the North are headed for the hills near Darujhistan and asks what might be there of interest. Baruk informs her of the buried Jaghut legend. He then charges Kruppe, Murillio and Rallick to go to the area remaining undetected to observe. They are to take the coin-bearer (Crokus) with them to keep him safe, but if his luck turns they are charged with killing him. "
49,60,"Sorry follows Crokus as he revisits the D'Arle estate to return the stolen goods. Crokus meets the young daughter, Challice, introduces himself and vows to get properly introduced as a suitor in the future. She laughs and he leaves before he gets caught. As he leaves, he notices Sorry watching him.  "
50,60,"Sorry marks Rallick as an assassin during her visit to the Phoenix Inn and informs Kalam and Quick Ben about him. They make initial contact and following Rallick, Kalam and Quick Ben are drawn into an assassins' guild trap originally set for the Tiste Andii assassins who have been attacking the guild. The Tiste Andii descend as the trap closes aiming to dispose of all of them, guild and malazans alike. Quick Ben and Kalam manage to fight off a couple of Andii and summon one of Tayschrenn's demons to cover their retreat. The demon is killed by Anomander. "
51,60,"We get a glimpse of how Rallick feels he is trapped in the assassin's life, with no real choices for his future, regarding his revenge plan as a last act of humanity. Coll used to be a lord, stripped of his rank and riches by his then-wife, Lady Simtal, so Rallick and Murillio are planning to take vengeance.  "
52,63,"Anomander visits Baruk and explains that he has been going after the local assassins guild. He has been afraid that the empire might try to contact the guild to attempt to wipe out the true rulers of Darujhistan - the cabal of mages that Baruk leads. The empress is known to follow such tactics and to reward handsomely assassin masters. Baruk is angry that Anomander did not consult him on this - he believes the guild is useful and shouldn't be simply wiped out - but at the same time admits that Vorcan, the assassins guild master, is very capable and a true threat to the cabal if she chooses to become an enemy. "
53,64,"Tool and Lorn discuss what comes next. They plan to find the burrow of the Jaghut tyrant and set him free. Because the tyrant was entombed with elder Jaghut magic, he has stayed out of reach of humans with their 'younger' magics. Tool is able to free him because his magic, Tellan, is of a similar flavour/time to Omtose Phellack. The tyrant is supposed to be very powerful and could very well end up enslaving the whole continent. Tool has been chosen for the mission because he is clanless, and therefore if he is enslaved the tyrant would not have access to any kin of his. In a sense both Tool and Lorn are expendable. The gamble is that Anomander will be forced to step in to stop the tyrant, which he should be able to do so but will cost him greatly and leave him weakened. "
54,64,"From two successive scenes, we get the same information. First is in one of Kruppe's dreams where he speaks with K'rul, and the second is the conversation between Lorn and Tool. We get expositions of how powerful and old Anomander is and the sword that he is carrying, and a warning that the Jaghut tyrant is of comparable power. "
55,66,"Lorn is now convinced that freeing the tyrant is wrong in the greater scheme of things but will continue nonetheless as she is merely a tool of the empress. As she wanders around the burrow (waiting for Tool to open the way), she stumbles upon the group of Kruppe, Crokus, Coll and Murillio. Surprised, she charges them, wounding Coll severely, leaving Murillio and Kruppe unconscious before agreeing to Crokus to leave them be if they leave the area. "
56,67,"Hairlock, who follows Lorn's footsteps, believes he is being pursued and sets a trap for his pursuers who happen to be Paran and Toc. Toc vanishes in a portal Hairlock opens. Quick Ben intervenes, grabbing the opportunity to betray him (informing Sorry of his location) and the Hounds of Shadow are set upon him. Hairlock gets devoured by the hounds, who then turn upon Paran. Anomander intervenes after being informed by Crone and saves Paran from the hounds without realising he is Malazan. Demands that Shadow completely retreats from the area, and by killing two hounds Shadowthrone is forced to comply and forcefully pulls Cotillion out. Anomander realises the link of Paran with Opponn, informs Paran that Oppon's influence only extends to his sword, and advises him to get rid of the sword if his luck turns. "
57,68,"Paran touches the hounds' remains and is somehow transferred inside Dragnipur (Anomander's sword). The inside is like a massive carriage carried by numerous beasts and people all chained to the carriage. He is recognised as kin to the hounds and manages to get the two hounds who are also chained, to escape through a Kurald Galain gate at the carriage using unwilling Oppon as bait. Returning to the Rhivi plain, Paran notices the bodies of the hounds are now gone. "
58,69,"Tool recognises Lorn's second thoughts and shares them, and like her, feels compelled to finish the task at hand. He says completing the task would free him from his vows and will therefore leave this place and offers Lorn to accompany him. "
59,70,"Sorry decides to kill the coin-bearer and follows the group outside Darujhistan, but at the last minute Cotillion is pulled out due to Anomander's intervention. Now lost, she stumbles upon Crokus and Coll. Coll believes the girl was previously possessed and thinks it important for Crokus to take the girl straight away to his uncle Mammot. On the way, Sorry is renamed to Apsalar as she does not remember her old name. "
60,70,"As soon as they awake, Kruppe and Murillio leave in pursuit of Crokus. Kruppe unveils that Crokus is the coin-bearer and needs to be protected. However, they lose all sense of urgency once they arrive in Darujhistan. Coll, who is too injured to travel, remains behind to recover. "
61,71,"Paran encounters a group of Rhivi warriors who attack him, but miraculously he manages to parry 5 spears with his sword Chance, before the Rhivi give pause. A small 5-year-old-looking girl tells the Rhivi to stop and tells Paran that the woman he thought dead isn't and that they will meet again soon. Paran recognises the girl as Tattersail. "
62,74,"Although Anomander recognises the Tyrant as a threat, he admits to Baruk that he has allowed Lorn and Tool to enter the burrow to free him. His rationale is that it's better for Darujhistan to deal with this threat while Anomander is around than not. "
63,74,"Anomander explains how the Tiste Andii are struggling to find the will to carry on with life, and have been borrowing worthwhile causes from others to find some meaning. Like mercenaries of the soul. He also explains that duty to his people drives him and why they would never betray their allies. "
64,74,"Baruk requests Mammot to investigate the tyrant's burrow. Mammot, a high priest of D'rek, travels via warren there and gets trapped due to the many magic and anti-magic powers layered in the area. After some time he manages to return, seemingly unscathed, and attends Simtal's fete. "
65,74,"Crokus fails to find his uncle but meets Meese and Irilta who offer to help and hide Crokus as he is wanted for the murder of a D'Arle guard who was previously murdered by Sorry. The two women are working for the Eel and tasked to protect Crokus. Apparently, Challice, the only one who witnessed Crokus' visit, betrayed him, and Crokus gets disillusioned. However, he gets determined to meet Chalice face to face to confront her and escapes Meese and Irilta to do so. "
66,77,"Circle Breaker informs Rallick that Turban Orr, representing Simtal, has offered a contract for the death of Coll. Ocelot, who is Rallick's superior in the assassin's guild, accepted the offer. Rallick rubs otataral dust on his skin to get protection from Ocelot's magicks, tracks Ocelot down and kills him. He gets injured, but otataral seems to have some healing effect on him. "
67,77,"Paran meets a heavily wounded, and alone, Coll outside Darujhistan. become friends and travel together. Coll's health deteriorates, but Paran saves him by delivering him to the Phoenix Inn and having Mallet cure him. "
68,78,Paran meets the bridgeburners in the Phoenix Inn (Kalam is visiting attempting another contact with the assassin's guild). He shares information about Tattersail and Hairlock. He warns them that Lorn wants them dead and that he seeks vengeance for her schemes.
69,80,"Whiskeyjack reveals a contraption used for direct communication with Dujek. They reveal that Dujek's army is on the verge of revolt and they plan to split out from the Empire to go after a completely different threat called the Pannion Seer. Paran wonders why they are still going after Darujhistan if they plan to liberate the continent from Malazan rule. He realizes, a headless and hurt Darujhistan could be the perfect place for someone like Dujek to seize power, and then perfect for financing his substantial army on what is to come. Whiskeyjack tells him if he wants to join, he needs to forget about Tayschrenn - he will meet his demise sooner or later, but probably far away, and also that he cannot touch Lorn in the immediate future because she has a role to play. Paran seems to agree and stays in the Phoenix Inn, hidden from Lorn. "
70,81,"A mechanism to track the passing of years was donated to Darujhistan a thousand years ago by Icarium. Each year is given a new symbol. The year that is just starting (hence the celebrations, the fete, etc) is the year of the moon tears. Icarium back then was accompanied by a Trell, and Anomander later on confirms he was visited by Icarium, Mappo and Ossric 800 years ago. Anomander comments that Icarium's gifts always have significance. "
71,82,"Circle breaker, covering for another, is staying watch at the city gates and recognises Lorn when she arrives. He also offers to cover for another to attend Simtal's Fete as a guard later that day. "
72,83,"When Lorn finds the bridgeburners, the squad is in the middle of a card game led by Fiddler and played with a deck of dragons. Fiddler is basically having a deck of dragons reading via the game. She proceeds to take control of the squad but only ends up validating Whiskeyjack's plan. They are still trying to make contact with the guild, if they don't in the day, they will detonate the mines and get out. They will also try to attend Simtal's fete where they might get the chance to take several nobles out. "
73,83,"Serrat, Anomander's second in command, is tracking Crokus and ready to set an ambush when she is ambushed herself. Wakes up hours later with her weapons nearby. She gets sidetracked again, and the third time it is revealed that it is crimson guardsmen (Cowl) who have been ordered by Caladan Brood to keep the coin-bearer alive. Serrat is forced to retreat in anger. "
74,84,"Lorn and Tool free the tyrant. Lorn identifies an object that contains much of the tyrant's power, the Finnest, and steals it to make the tyrant follow her. She plants it in Simtal's garden to draw the tyrant there. "
75,86,"Murillio thinks Kruppe is the Eel, confronts him and gets sidetracked. Baruk arrives at the same conclusion and introduces him as such to Anomander. "
76,87,"Kruppe gives a message to Circle Breaker, telling him it's time to retire. "
77,87,The bridgeburners recognise Anomander at the fete and start preparing to blow up the estate. 
78,88,"Turban Orr convinced that some spy is sabotaging his plans, finally sees Circle Breaker, remembers him from the night shift at the despot barbican, and finds his spy. But is interrupted, and then insulted, by Rallick. Orr proclaims a duel and is killed by Rallick. "
79,88,"Murillio distracts Simtal at the time of Rallicks and Turban Orr's duel. Once the duel is done, Rallick finds them, announces Turban Orr's death, and its significance for Coll, and leaves with Murillio. Murillio leaves a dagger for Simtal to take her own life "
80,89,"Raest exits his tomb to be met by 4 black dragons (Tiste Andii Soletaken) and the red dragon Silanah. He fights with them for a long time, slowly winning, although his body gets almost entirely broken. At a last stand-off with Silanah, he is drawn into a dream by Kruppe. Tool has been summoned by Pran Chole and the help of K'rul, to fight Raest. K'rul gives him the option to die here by Tool, or travel with him to the gates of chaos. Raest escapes by abandoning his body and finding another "
81,90,"Crokus finds and confronts Challice. it seems that she didn't betray him after all. Her father got a seer and was told that a woman, an instrument of the Rope, did it. She then proceeds to dismiss Crokus' approaches. Meanwhile, Apsalar is left behind in the garden where she is found by the bridgeburners. They recognise her as dis-possessed and help her heal by aiding the seer inside her."
82,91,"Rallick is met by Vorcan and brought into a part of Simtal's garden where a weird box-shaped wooden thing is growing. His otataral seems to affect it by slowing its growth. He is ordered to stay there by Vorcan. There they have an audience with the bridgeburners (Kalam had left a message with the Phoenix Inn bartender, requesting an audience with the guild master). Vorcan personally accepts the contract for the lives of the cabal mages and sets off for the hunt. Crokus witness the exchange and is later encouraged by Rallick to go and warn Baruk and Mammot who might still be at the fete. "
83,92,"Paran stumbles into a different dimension, and meets Tool who is fighting with an apparition of the Finnest. He asks for Paran's help, and Paran manages to avoid enslavement due to the hound's blood inside him defining enslavement and giving him power. They fight the Finnest long enough to allow the azath to grow enough to take it. "
84,93,"The bridgeburners (most notably Quick Ben and Hedge), along with the witch Derudan, face possessed Mammot and weaken him enough for the azath to claim him. Whiskeyjack's leg gets shattered in the process."
85,93,"Paran again finds himself in a different realm. A hound bites him but stops short of killing him. He meets Cotillion and gives him his sword chance, as his luck has seemed to turn. His wounds start to heal and he returns."
86,93,"Once the fight with Possessed Mammot is over, Fiddler and Hedge head out to detonate the mines. Kalam realises that the whole of Darujhistan is powered by some natural gas and that by blowing up the intersections, the whole city will blow, so hurries after them to stop them."
87,95,"Lorn admits she was working towards the death of Whiskeyjack. She aims to kill Crokus to retrieve the coin in the hopes of using it to manipulate Oppon. She sets a Galayn lord free to face what she hopes to be a weakened Anomander and then sets after Crokus. She comes against crimson guardsmen, fights with Blues and taking heavy wounds retreats only to be found, and killed, by Irilta and Meese. Paran meets her as she is bleeding out and takes her otataral sword."
88,96,"Anomander and Baruk leave the fete right after the duel and miss the confrontation with possessed Mammot. Anomander takes to the streets, attempts to scare people away and finds a vantage point to await the empire's next move, the Demon lord. Both fight as dragons for a while (both are soletaken), and eventually land and destroy part of Baruk's garden and walls. They assume their normal forms and Anomander kills the demon, but only after getting wounded himself. He urges Crokus who is nearby to go to Baruk who is in danger. "
89,97,"Crokus witnesses the death of his uncle Mammot and then hurries on to Baruk's house. Vorcan kills a couple of members of the cabal and then comes after Baruk who is with Derudan. She kills a Tiste Andii protecting Baruk, and just before finishing the two mages off, Crokus appears, and with a lucky brick throw, leaves Vorcan unconscious, although she later escapes as the rest are tending to their wounds. "
90,97,"Dujek is officially outlawed by the empress (requesting from Tayschrenn Dujek's arrest and execution). Dujek seeks to parley with Caladan Brood. Whiskeyjack to be his second in command, Paran to become the captain of the bridgeburners, and anyone from the squad has the opportunity to walk. Kalam and Fiddler decide to return Apsalar home, and everyone else to return to Dujek.  "
91,98,"Vorcan, hunted by Tiste Andii seeking revenge for the death of Serrat (who was protecting Baruk), arrives at the azath barely conscious and is carried inside by Rallick. Korlat, who leads the pursuit, decides to stop the hunt and not fight against the newborn Azath. "
92,98,"Crokus joins Apsalar, Fiddler and Kalam on their way to the Empire. Crokus tosses the coin to the sea and is witnessed by Circle Breaker who also happens to be on the same ship."
