Country,Code,Note
Eswatini,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Ethiopia,1,"Many lockdown style measures. Pm quoted saying ""harsher lockdown would be unrealistic given that there are many citizens who don't have homes and even those who have homes have to make ends meet daily""."
Falkland Islands (Malvinas),0,
Faroe Islands,0,
Fiji,0,
Finland,1,Movement restrictions in the Uusimaa region.
France,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
French Guiana,0,
French Polynesia,0,
Gabon,1,"Lockdown in the capital Libreville, and the nearby communes of Owendo, Akanda, Ntoum, and Pointe Denis."
Gambia,0,Some social distancing rules in place and many businesses closed but no movement restrictions.
Georgia,0,
Germany,1,Self imposed lockdown in several regions or cities.
Ghana,1,"Partial lockdown of the two main cities , Accra and Kumasi."
Gibraltar,0,
Greece,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Permission to go out is granted via sms."
Greenland,1,Travel ban to and from the capital Nuuk.
Grenada,0,
Guadeloupe,0,
Guatemala,1,Some movement restrictions in place.
Guinea,0,
Guinea-Bissau,0,
Guyana,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Additionally, a total ban in cars, motorcycles, boats etc."
Haiti,0,
Holy See,0,
Honduras,3,24-hour curfew. Citizens can only go out 1 time per week according to their Id card number. No one allowed out on Weekends.
Hungary,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Iceland,0,
India,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Indonesia,0,
Iran,1,Intercity travel banned.
Iraq,2,
Ireland,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Isle of Man,0,
Israel,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Italy,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Italy,1,Localised quarantine in Lombardy 
Jamaica,2,"General lockdown 20:00 - 06:00 (later moved to 15:00 - 07:00). Additionally, lockdown in certain areas."
Japan,0,
Jordan,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Kazakhstan,1,Self imposed lockdown in several regions or cities.
Kenya,2,"General curfew 19:00 - 05:00. Additionally, lockdown in certain areas of the country."
"Korea, South",0,
Kosovo,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. People can only be out dureing a 1.5h window."
Kuwait,2,"General curefew 17:00 - 04:00 (later changed to 17:00 - 06:00). Additionally, lockdown is certain areas of the country."
Kyrgyzstan,1,"Intercity travel banned, and many cities and regions under lockdown."
Laos,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Latvia,0,
Lebanon,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Liberia,0,
Libya,2,"Opposing governing bodies controlling different parts of the country both declared movement restriction measures. The west is in lockdown, the east on a general curfew for 18:00 - 06:00."
Liechtenstein,0,
Lithuania,0,
Luxembourg,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Madagascar,1,"The country's two main cities, Antananarivo and Toamasina are in lockdown."
Malawi,0,Lockdown announced by the government but blocked by High Court.
Malaysia,0,
Maldives,0,
Mali,2,General curfew 21:00 - 05:00.
Malta,0,
Martinique,0,
Mauritania,2,General curfew 20:00 - 06:00.
Mauritius,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Mayotte,0,
Mexico,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Moldova,1,People over 63 can only leave home for pre -defined set of reasons.
Monaco,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Mongolia,0,
Montenegro,0,
Montserrat,0,
Morocco,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Mozambique,0,
Namibia,1,"Restrictions on travelling between cities, and lockdown of some regions."
Nepal,0,
Netherlands,0,
New Caledonia,0,
New Zealand,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Nicaragua,0,
Niger,1,Curfew imposed in the city of Niamey.
Nigeria,1,Lockdown of some states.
North Macedonia,0,
Norway,1,People are not allowed to stay in their cabins or other leisure homes.
Oman,1,"Restricted movement between governorates, and Muscat in lockdown."
Pakistan,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Panama,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Papua New Guinea,2,General curfew 20:00 - 8:00.
Papua New Guinea,1,No movement is permitted between provinces.
Paraguay,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy etc). Violators are fined."
Paraguay,2,General curfew 20:00 - 04:00.
Peru,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Philippines,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Poland,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Under 18's cannot go out without adult supervision."
Portugal,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Qatar,1,Intercity movement restricted.
Reunion,0,
Romania,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Additionally, a general curfew for 22:00 - 06:00."
Romania,2,General curefew 22:00 - 06:00.
Russia,1,"Moscow self imposes lockdown, and many cities and regions follow the example."
Rwanda,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Saint Barthelemy,0,
Saint Kitts and Nevis,0,
Saint Lucia,0,
Saint Pierre and Miquelon,0,
Saint Vincent and the Grenadines,0,
San Marino,0,
Sao Tome and Principe,0,
Saudi Arabia,2,General curfew 19:00 - 06:00. Some cities in lockdown.
Senegal,0,
Serbia,2,General curfew 20:00 - 05:00. Under 18's and over 65 not allowed out at all.
Seychelles,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Sierra Leone,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Sierra Leone,2,General curfew 21:00 - 06:00.
Singapore,0,
Sint Maarten,0,
Slovakia,0,
Slovenia,1,Travel between municipalities prohibited.
Somalia,0,
South Africa,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
South Sudan,2,"General curfew 20:00 - 06:00. Additionally, lockdown in certain parts of the country."
Spain,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Children not allowed outside at all for the first 6 weeks of lockdown."
Sri Lanka,2,A 24-hour curfew in place (lockdown) which is lifted every 2-3 days for 8-10 hours.
Sri Lanka,1,"Some areas in lockdown, and travel between districs prohibited."
St Martin,0,
Sudan,2,Night curfew in place. Additionally some areas in lockdown and travel between cities is prohibited.
Suriname,0,
Sweden,0,
Switzerland,0,
Syria,1,Movement is banned between governates.
Taiwan*,0,
Tajikistan,0,
Tanzania,0,
Thailand,1,Curfew imposed in Nonthaburi.
Thailand,2,General curfew 22:00 - 04:00.
Timor-Leste,0,
Togo,0,
Trinidad and Tobago,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Tunisia,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Turkey,1,People under 25 and over 65 in complete lockdown nationwide. Also in lockdown some provinces.
Turks and Caicos Islands,0,
Uganda,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Ukraine,1,Prohibited movement between cities.
United Arab Emirates,2,"General curfew 20:00 - 06:00, Thursday to Sunday, plus stricter measures on a per Emirate basis."
United Kingdom,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Uruguay,0,
USA,1,"Varied responses among states, with most states imposing lockdown at some point."
Uzbekistan,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Venezuela,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
Vietnam,1,Certain areas in lockdown.
Vietnam,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
West Bank and Gaza,1,Restricted movement between governorates.
Western Sahara,0,
World,0,
Yemen,0,
Zambia,1,Lockdown in Kaufe district.
Zimbabwe,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
