country,income_level,year,population,migrants_destination,migrants_destination_per,refugees_destination,refugees_destination_per,migrants_origin,migrants_origin_per
American Samoa,Middle - upper,1990,"47,000",21283,45.28297872,0,0,2041,4.342553191
American Samoa,Middle - upper,1995,"53,000",23098,43.58113208,0,0,2638,4.977358491
American Samoa,Middle - upper,2000,"58,000",24912,42.95172414,0,0,3186,5.493103448
American Samoa,Middle - upper,2005,"59,000",24233,41.07288136,0,0,2678,4.538983051
American Samoa,Middle - upper,2010,"56,000",23555,42.0625,0,0,1975,3.526785714
American Samoa,Middle - upper,2015,"56,000",23513,41.9875,0,0,2035,3.633928571
American Samoa,Middle - upper,2017,"56,000",23561,42.07321429,0,0,2037,3.6375
Andorra,High,1990,"55,000",38904,70.73454545,0,0,3792,6.894545455
Andorra,High,1995,"64,000",40525,63.3203125,0,0,4193,6.5515625
Andorra,High,2000,"65,000",42146,64.84,0,0,5613,8.635384615
Andorra,High,2005,"79,000",50298,63.66835443,0,0,5762,7.293670886
Andorra,High,2010,"84,000",52053,61.96785714,0,0,7120,8.476190476
Andorra,High,2015,"78,000",42082,53.95128205,0,0,7589,9.729487179
Andorra,High,2017,"77,000",41039,53.2974026,0,0,7653,9.938961039
Angola,Middle - lower,1990,"12,171,000",33517,0.27538411,12000,0.098595021,809942,6.654687372
Angola,Middle - lower,1995,"14,269,000",39813,0.27901745,11404,0.079921508,668278,4.683425608
Angola,Middle - lower,2000,"16,441,000",46108,0.280445228,12579,0.076509945,870514,5.294775257
Angola,Middle - lower,2005,"19,553,000",61329,0.313655194,13867,0.070920063,680405,3.479798496
Angola,Middle - lower,2010,"23,369,000",76549,0.327566434,15155,0.064850871,624284,2.671419402
Angola,Middle - lower,2015,"27,859,000",632178,2.269205643,45698,0.164033167,611320,2.194335762
Angola,Middle - lower,2017,"29,784,000",638499,2.143765109,45698,0.153431373,632699,2.124291566
Anguilla,,1990,"8,000",2570,32.125,0,0,2047,25.5875
Anguilla,,1995,"10,000",3317,33.17,0,0,2567,25.67
Anguilla,,2000,"11,000",4063,36.93636364,0,0,3094,28.12727273
Anguilla,,2005,"13,000",4684,36.03076923,0,0,3058,23.52307692
Anguilla,,2010,"14,000",5103,36.45,0,0,2295,16.39285714
Anguilla,,2015,"15,000",5470,36.46666667,0,0,2290,15.26666667
Anguilla,,2017,"15,000",5579,37.19333333,0,0,2336,15.57333333
Antigua and Barbuda,High,1990,"67,000",12029,17.95373134,0,0,21747,32.45820896
Antigua and Barbuda,High,1995,"74,000",17550,23.71621622,0,0,27677,37.40135135
Antigua and Barbuda,High,2000,"84,000",23071,27.46547619,0,0,33822,40.26428571
Antigua and Barbuda,High,2005,"89,000",24741,27.7988764,0,0,37506,42.14157303
Antigua and Barbuda,High,2010,"95,000",26412,27.80210526,0,0,41245,43.41578947
Antigua and Barbuda,High,2015,"100,000",28083,28.083,16,0.016,49030,49.03
Antigua and Barbuda,High,2017,"102,000",28646,28.08431373,16,0.015686275,50234,49.24901961
Argentina,Middle - upper,1990,"32,730,000",1649919,5.040999083,12185,0.037228842,430322,1.314763214
Argentina,Middle - upper,1995,"34,995,000",1595069,4.557991142,7278,0.020797257,481201,1.375056437
Argentina,Middle - upper,2000,"37,057,000",1540219,4.156351027,2371,0.006398251,554964,1.497595596
Argentina,Middle - upper,2005,"39,145,000",1673088,4.274078426,2824,0.007214204,813610,2.07845191
Argentina,Middle - upper,2010,"41,224,000",1805957,4.380838832,4223,0.010244033,943685,2.289164079
Argentina,Middle - upper,2015,"43,418,000",2086302,4.805154544,4285,0.009869179,952965,2.194861578
Argentina,Middle - upper,2017,"44,271,000",2164524,4.889259335,4986,0.011262452,977209,2.207334372
Armenia,Middle - lower,1990,"3,538,000",658789,18.62037875,0,0,899683,25.42914076
Armenia,Middle - lower,1995,"3,217,000",693999,21.57286292,218950,6.806030463,902479,28.05343488
Armenia,Middle - lower,2000,"3,070,000",657900,21.42996743,280591,9.139771987,876924,28.56429967
Armenia,Middle - lower,2005,"2,981,000",469119,15.73696746,219550,7.364978195,899820,30.18517276
Armenia,Middle - lower,2010,"2,877,000",221560,7.701077511,13732,0.477302746,921753,32.03868613
Armenia,Middle - lower,2015,"2,917,000",191199,6.554645183,19385,0.664552623,946246,32.43901268
Armenia,Middle - lower,2017,"2,930,000",190719,6.509180887,18905,0.645221843,951023,32.45812287
Aruba,High,1990,"62,000",14444,23.29677419,0,0,10597,17.09193548
Aruba,High,1995,"80,000",22274,27.8425,0,0,10748,13.435
Aruba,High,2000,"91,000",30104,33.08131868,0,0,11007,12.0956044
Aruba,High,2005,"100,000",32540,32.54,0,0,13036,13.036
Aruba,High,2010,"102,000",34327,33.65392157,0,0,14343,14.06176471
Aruba,High,2015,"104,000",36114,34.725,2,0.001923077,16862,16.21346154
Aruba,High,2017,"105,000",36356,34.6247619,6,0.005714286,17525,16.69047619
Australia,High,1990,"17,041,000",3955213,23.20998181,97915,0.574584825,303406,1.780447157
Australia,High,1995,"18,077,000",4153330,22.97577032,79081,0.4374675,343815,1.901947226
Australia,High,2000,"19,066,000",4386250,23.00561208,71246,0.373680898,383959,2.013841393
Australia,High,2005,"20,239,000",4878030,24.10212955,66722,0.329670438,428411,2.116759721
Australia,High,2010,"22,120,000",5882980,26.59575045,25505,0.115302893,484511,2.190375226
Australia,High,2015,"23,800,000",6710540,28.19554622,48005,0.201701681,520982,2.189
Australia,High,2017,"24,451,000",7035560,28.77411967,58153,0.237834853,541616,2.215107767
Austria,High,1990,"7,724,000",793239,10.26979544,37172,0.481253237,505818,6.548653547
Austria,High,1995,"7,990,000",894893,11.2001627,42980,0.537922403,490466,6.138498123
Austria,High,2000,"8,069,000",996547,12.35031602,48787,0.60462263,475241,5.889713719
Austria,High,2005,"8,254,000",1136270,13.76629513,45709,0.553779985,493066,5.973661255
Austria,High,2010,"8,410,000",1275992,15.17231867,42630,0.506896552,515071,6.12450654
Austria,High,2015,"8,679,000",1492374,17.19522987,78947,0.909632446,532718,6.138011292
Austria,High,2017,"8,735,000",1660283,19.00724671,165446,1.894058386,586161,6.710486548
Azerbaijan,Middle - upper,1990,"7,243,000",360600,4.978600028,0,0,1634120,22.5613696
Azerbaijan,Middle - upper,1995,"7,775,000",344070,4.425337621,233682,3.00555627,1713251,22.03538264
Azerbaijan,Middle - upper,2000,"8,123,000",327540,4.032254093,54663,0.672941032,1629291,20.0577496
Azerbaijan,Middle - upper,2005,"8,539,000",302220,3.539290315,3505,0.041046961,1447059,16.94646914
Azerbaijan,Middle - upper,2010,"9,032,000",276901,3.065777236,1908,0.021124889,1177772,13.03999114
Azerbaijan,Middle - upper,2015,"9,617,000",264241,2.747644796,1380,0.014349589,1145889,11.91524384
Azerbaijan,Middle - upper,2017,"9,828,000",259241,2.637779813,1492,0.015181115,1155381,11.75601343
Bahamas,High,1990,"256,000",26855,10.49023438,0,0,25172,9.8328125
Bahamas,High,1995,"280,000",31654,11.305,50,0.017857143,29690,10.60357143
Bahamas,High,2000,"298,000",36454,12.23288591,100,0.033557047,34437,11.55604027
Bahamas,High,2005,"329,000",45595,13.85866261,64,0.019452888,34753,10.56322188
Bahamas,High,2010,"361,000",54736,15.16232687,28,0.007756233,35808,9.919113573
Bahamas,High,2015,"387,000",59306,15.3245478,94,0.024289406,40340,10.42377261
Bahamas,High,2017,"395,000",61806,15.64708861,97,0.024556962,41684,10.55291139
Bahrain,High,1990,"496,000",173212,34.92177419,1780,0.358870968,12767,2.573991935
Bahrain,High,1995,"564,000",205979,36.52109929,891,0.157978723,25964,4.603546099
Bahrain,High,2000,"665,000",239361,35.99413534,1,0.000150376,47711,7.174586466
Bahrain,High,2005,"889,000",404018,45.44634421,83,0.009336333,52484,5.903712036
Bahrain,High,2010,"1,241,000",657856,53.0101531,165,0.013295729,53756,4.33166801
Bahrain,High,2015,"1,372,000",704137,51.32193878,360,0.026239067,56304,4.103790087
Bahrain,High,2017,"1,493,000",722649,48.40247823,350,0.023442733,57749,3.867983925
Bangladesh,Middle - lower,1990,"106,189,000",881617,0.830233828,73,6.87454E-05,5451546,5.133814237
Bangladesh,Middle - lower,1995,"118,707,000",934735,0.787430396,10996,0.009263144,5424630,4.569764209
Bangladesh,Middle - lower,2000,"131,581,000",987853,0.750756568,21919,0.01665818,5435372,4.130818279
Bangladesh,Middle - lower,2005,"143,431,000",1166700,0.813422482,125586,0.087558478,5765158,4.019464411
Bangladesh,Middle - lower,2010,"152,149,000",1345546,0.884360725,229253,0.150676639,6742845,4.431737967
Bangladesh,Middle - lower,2015,"161,201,000",1422805,0.882627899,232584,0.144281983,7246726,4.495459706
Bangladesh,Middle - lower,2017,"164,670,000",1500921,0.911472035,276208,0.167734256,7499919,4.554514484
Barbados,High,1990,"260,000",24024,9.24,0,0,84917,32.66038462
Barbados,High,1995,"265,000",26224,9.895849057,0,0,89923,33.93320755
Barbados,High,2000,"270,000",28424,10.52740741,0,0,95439,35.34777778
Barbados,High,2005,"274,000",30624,11.17664234,0,0,93641,34.17554745
Barbados,High,2010,"280,000",32825,11.72321429,0,0,94943,33.90821429
Barbados,High,2015,"284,000",34475,12.13908451,0,0,95023,33.45880282
Barbados,High,2017,"286,000",34660,12.11888112,0,0,98467,34.42902098
Belarus,Middle - upper,1990,"10,217,000",1248977,12.22449839,0,0,1769029,17.31456396
Belarus,Middle - upper,1995,"10,142,000",1186282,11.69672648,180,0.001774798,1739629,17.15272136
Belarus,Middle - upper,2000,"9,934,000",1123586,11.31050936,359,0.003613851,1688476,16.9969398
Belarus,Middle - upper,2005,"9,622,000",1106982,11.50469757,474,0.004926211,1584067,16.46297028
Belarus,Middle - upper,2010,"9,473,000",1090378,11.51037686,589,0.006217671,1469332,15.51073578
Belarus,Middle - upper,2015,"9,486,000",1082905,11.41582332,3897,0.041081594,1473782,15.53639047
Belarus,Middle - upper,2017,"9,468,000",1078652,11.39260668,4408,0.046556823,1484875,15.68309041
Belgium,High,1990,"10,007,000",904528,9.038952733,25721,0.257030079,365414,3.651583891
Belgium,High,1995,"10,186,000",909769,8.93156293,31691,0.31112311,376006,3.691399961
Belgium,High,2000,"10,282,000",895900,8.713285353,18832,0.183155028,399911,3.889428127
Belgium,High,2005,"10,547,000",882031,8.362861477,15282,0.144894283,438642,4.158926709
Belgium,High,2010,"10,939,000",1119256,10.2317945,17892,0.163561569,491812,4.49595027
Belgium,High,2015,"11,288,000",1252380,11.09479093,66740,0.591247342,541558,4.797643515
Belgium,High,2017,"11,429,000",1268411,11.09818007,61780,0.540554729,562626,4.922792895
Belize,Middle - upper,1990,"188,000",30404,16.17234043,30404,16.17234043,36114,19.20957447
Belize,Middle - upper,1995,"207,000",33446,16.15748792,8750,4.22705314,41982,20.28115942
Belize,Middle - upper,2000,"247,000",36488,14.77246964,9812,3.972469636,48160,19.49797571
Belize,Middle - upper,2005,"283,000",41424,14.63745583,624,0.2204947,51850,18.32155477
Belize,Middle - upper,2010,"322,000",46360,14.39751553,134,0.041614907,57314,17.79937888
Belize,Middle - upper,2015,"359,000",54674,15.22952646,814,0.226740947,61213,17.05097493
Belize,Middle - upper,2017,"375,000",59998,15.99946667,3126,0.8336,63233,16.86213333
Benin,Low,1990,"4,978,000",76212,1.530976296,657,0.013198072,233642,4.693491362
Benin,Low,1995,"5,906,000",104971,1.777362005,2317,0.03923129,272881,4.62040298
Benin,Low,2000,"6,866,000",133730,1.94771337,3977,0.057923099,319432,4.652374017
Benin,Low,2005,"7,982,000",171499,2.148571787,5558,0.069631671,490875,6.149774493
Benin,Low,2010,"9,199,000",209267,2.274888575,7139,0.077606262,528120,5.741058811
Benin,Low,2015,"10,576,000",245399,2.320338502,708,0.006694402,608559,5.754150908
Benin,Low,2017,"11,176,000",253284,2.266320687,752,0.006728704,627997,5.619157122
Bermuda,High,1990,"61,000",15683,25.70983607,0,0,71703,117.5459016
Bermuda,High,1995,"63,000",16676,26.46984127,0,0,42603,67.62380952
Bermuda,High,2000,"64,000",17668,27.60625,0,0,14085,22.0078125
Bermuda,High,2005,"65,000",18276,28.11692308,0,0,14932,22.97230769
Bermuda,High,2010,"64,000",18884,29.50625,0,0,15848,24.7625
Bermuda,High,2015,"62,000",19126,30.8483871,0,0,15885,25.62096774
Bermuda,High,2017,"61,000",18954,31.07213115,0,0,16496,27.04262295
Bhutan,Middle - lower,1990,"537,000",23807,4.433333333,0,0,28366,5.282309125
Bhutan,Middle - lower,1995,"515,000",27972,5.431456311,0,0,117872,22.88776699
Bhutan,Middle - lower,2000,"573,000",32137,5.608551483,0,0,120061,20.9530541
Bhutan,Middle - lower,2005,"657,000",40279,6.130745814,0,0,117860,17.9391172
Bhutan,Middle - lower,2010,"728,000",48420,6.651098901,0,0,86162,11.83543956
Bhutan,Middle - lower,2015,"787,000",51106,6.493773825,0,0,44041,5.596060991
Bhutan,Middle - lower,2017,"808,000",52296,6.472277228,0,0,43970,5.441831683
Bolivia (Plurinational State of),Middle - lower,1990,"6,856,000",73758,1.075816803,235,0.003427655,224687,3.277231622
Bolivia (Plurinational State of),Middle - lower,1995,"7,567,000",83598,1.104770715,685,0.009052465,283006,3.740002643
Bolivia (Plurinational State of),Middle - lower,2000,"8,340,000",92658,1.111007194,354,0.004244604,344199,4.127086331
Bolivia (Plurinational State of),Middle - lower,2005,"9,125,000",107745,1.180767123,538,0.00589589,544436,5.966421918
Bolivia (Plurinational State of),Middle - lower,2010,"9,918,000",122846,1.238616657,736,0.007420851,781490,7.879511998
Bolivia (Plurinational State of),Middle - lower,2015,"10,725,000",142989,1.333230769,756,0.007048951,795729,7.419384615
Bolivia (Plurinational State of),Middle - lower,2017,"11,052,000",148837,1.34669743,775,0.007012305,820722,7.426004343
Bosnia and Herzegovina,Middle - upper,1990,"4,463,000",56000,1.254761371,0,0,863399,19.34570916
Bosnia and Herzegovina,Middle - upper,1995,"3,844,000",69476,1.807388137,0,0,1374109,35.74685224
Bosnia and Herzegovina,Middle - upper,2000,"3,767,000",82952,2.202070613,38152,1.012795328,1468799,38.99121317
Bosnia and Herzegovina,Middle - upper,2005,"3,782,000",47272,1.249920677,10768,0.284717081,1490861,39.4199101
Bosnia and Herzegovina,Middle - upper,2010,"3,722,000",38792,1.042235357,7016,0.188500806,1575669,42.33393337
Bosnia and Herzegovina,Middle - upper,2015,"3,536,000",38574,1.090893665,6798,0.192251131,1611438,45.57234163
Bosnia and Herzegovina,Middle - upper,2017,"3,507,000",37100,1.057884232,5324,0.151810664,1659852,47.32968349
Botswana,Middle - upper,1990,"1,378,000",27510,1.996371553,1220,0.088534107,26037,1.889477504
Botswana,Middle - upper,1995,"1,569,000",40168,2.560101976,266,0.016953474,23304,1.485277247
Botswana,Middle - upper,2000,"1,728,000",57064,3.302314815,3551,0.205497685,26393,1.527372685
Botswana,Middle - upper,2005,"1,856,000",88829,4.786045259,3109,0.167510776,30883,1.663954741
Botswana,Middle - upper,2010,"2,015,000",120912,6.000595533,2986,0.148188586,47041,2.334540943
Botswana,Middle - upper,2015,"2,209,000",160644,7.272249887,2265,0.102535084,76030,3.441828882
Botswana,Middle - upper,2017,"2,292,000",166430,7.261343805,2845,0.1241274,80103,3.494895288
Brazil,Middle - upper,1990,"149,352,000",798517,0.534654374,5333,0.003570759,500149,0.334879345
Brazil,Middle - upper,1995,"162,297,000",741557,0.45691356,19605,0.012079706,750470,0.462405343
Brazil,Middle - upper,2000,"175,288,000",684596,0.390554972,0,0,969161,0.552896376
Brazil,Middle - upper,2005,"186,917,000",638582,0.341639337,3653,0.001954343,1218233,0.651750777
Brazil,Middle - upper,2010,"196,796,000",592568,0.301107746,5157,0.00262048,1531491,0.778212464
Brazil,Middle - upper,2015,"205,962,000",716568,0.347912722,35786,0.01737505,1557293,0.756106952
Brazil,Middle - upper,2017,"209,288,000",735557,0.351456844,41080,0.019628455,1612860,0.770641413
British Virgin Islands,High,1990,"16,000",8035,50.21875,0,0,3094,19.3375
British Virgin Islands,High,1995,"18,000",10046,55.81111111,0,0,4242,23.56666667
British Virgin Islands,High,2000,"21,000",12958,61.7047619,0,0,5430,25.85714286
British Virgin Islands,High,2005,"23,000",15016,65.28695652,1,0.004347826,5869,25.5173913
British Virgin Islands,High,2010,"27,000",17074,63.23703704,2,0.007407407,4517,16.72962963
British Virgin Islands,High,2015,"30,000",19132,63.77333333,0,0,4590,15.3
British Virgin Islands,High,2017,"31,000",19959,64.38387097,0,0,4674,15.07741935
Brunei Darussalam,High,1990,"259,000",73200,28.26254826,0,0,26323,10.16332046
Brunei Darussalam,High,1995,"297,000",84748,28.53468013,0,0,35052,11.8020202
Brunei Darussalam,High,2000,"333,000",96296,28.91771772,0,0,44796,13.45225225
Brunei Darussalam,High,2005,"365,000",98441,26.97013699,0,0,44811,12.2769863
Brunei Darussalam,High,2010,"389,000",100587,25.85784062,0,0,45420,11.67609254
Brunei Darussalam,High,2015,"418,000",102733,24.57727273,0,0,44992,10.76363636
Brunei Darussalam,High,2017,"429,000",108612,25.31748252,0,0,45458,10.5962704
Bulgaria,Middle - upper,1990,"8,841,000",21510,0.243298269,0,0,617155,6.980601742
Bulgaria,Middle - upper,1995,"8,379,000",32435,0.387098699,1320,0.01575367,653122,7.794748777
Bulgaria,Middle - upper,2000,"7,998,000",43360,0.542135534,1474,0.018429607,690700,8.635908977
Bulgaria,Middle - upper,2005,"7,684,000",61074,0.794820406,4413,0.057431026,909442,11.83552837
Bulgaria,Middle - upper,2010,"7,405,000",76287,1.030209318,5530,0.074679271,1127247,15.2227819
Bulgaria,Middle - upper,2015,"7,177,000",133803,1.8643305,26056,0.363048628,1166722,16.2564024
Bulgaria,Middle - upper,2017,"7,085,000",153803,2.170825688,33655,0.475017643,1291630,18.23048694
Burkina Faso,Low,1990,"8,811,000",349657,3.968414482,355,0.004029055,1018868,11.56359097
Burkina Faso,Low,1995,"10,090,000",434848,4.309692765,521,0.005163528,1213662,12.02836472
Burkina Faso,Low,2000,"11,608,000",520039,4.480005169,686,0.005909717,1234174,10.63209855
Burkina Faso,Low,2005,"13,422,000",596972,4.44771271,609,0.004537327,1312349,9.777596483
Burkina Faso,Low,2010,"15,605,000",673904,4.318513297,531,0.003402756,1387884,8.893841717
Burkina Faso,Low,2015,"18,111,000",704676,3.89087295,34160,0.188614654,1451286,8.013284744
Burkina Faso,Low,2017,"19,193,000",708921,3.693643516,32682,0.170280832,1472712,7.673172511
Burundi,Low,1990,"5,415,000",333110,6.151615882,267929,4.94790397,337199,6.227128347
Burundi,Low,1995,"5,962,000",254853,4.27462261,173017,2.901995975,543908,9.122911775
Burundi,Low,2000,"6,401,000",125628,1.962630839,27136,0.42393376,738397,11.53565068
Burundi,Low,2005,"7,423,000",172874,2.328896673,20681,0.278607032,616738,8.308473663
Burundi,Low,2010,"8,767,000",235259,2.683460705,29365,0.334949241,281111,3.206467435
Burundi,Low,2015,"10,199,000",289810,2.841553093,47805,0.468722424,378702,3.713128738
Burundi,Low,2017,"10,864,000",299569,2.757446613,56997,0.524641016,435630,4.009849043
Cabo Verde,Middle - lower,1990,"342,000",8931,2.611403509,0,0,91681,26.80730994
Cabo Verde,Middle - lower,1995,"389,000",9979,2.56529563,0,0,107754,27.70025707
Cabo Verde,Middle - lower,2000,"435,000",11027,2.534942529,0,0,125931,28.94965517
Cabo Verde,Middle - lower,2005,"475,000",12700,2.673684211,0,0,142011,29.89705263
Cabo Verde,Middle - lower,2010,"502,000",14373,2.86314741,0,0,152986,30.4752988
Cabo Verde,Middle - lower,2015,"533,000",14924,2.8,0,0,222673,41.77729831
Cabo Verde,Middle - lower,2017,"546,000",15295,2.801282051,0,0,226786,41.53589744
Cambodia,Middle - lower,1990,"8,973,000",38375,0.427671905,0,0,354608,3.951944723
Cambodia,Middle - lower,1995,"10,654,000",92230,0.86568425,15,0.000140792,417399,3.917767974
Cambodia,Middle - lower,2000,"12,152,000",146085,1.202147795,34,0.000279789,458419,3.772374918
Cambodia,Middle - lower,2005,"13,270,000",114031,0.859314243,130,0.000979653,672542,5.068138659
Cambodia,Middle - lower,2010,"14,309,000",81977,0.572905165,129,0.000901531,952002,6.653169334
Cambodia,Middle - lower,2015,"15,518,000",73963,0.476627143,104,0.000670189,1034848,6.668694419
Cambodia,Middle - lower,2017,"16,005,000",76329,0.476907216,104,0.000649797,1064840,6.653170884
Cameroon,Middle - lower,1990,"11,715,000",265344,2.264993598,49253,0.420426803,115311,0.984302177
Cameroon,Middle - lower,1995,"13,461,000",246864,1.833920214,47854,0.355501077,136161,1.011522175
Cameroon,Middle - lower,2000,"15,274,000",228383,1.495240278,46454,0.30413775,161419,1.056822051
Cameroon,Middle - lower,2005,"17,421,000",258737,1.485201768,52042,0.298731416,217615,1.249153321
Cameroon,Middle - lower,2010,"19,970,000",289091,1.44762644,104275,0.522158237,278383,1.394006009
Cameroon,Middle - lower,2015,"22,835,000",508357,2.226218524,348357,1.525539742,325831,1.426892928
Cameroon,Middle - lower,2017,"24,054,000",540266,2.24605471,378666,1.574232976,333316,1.385698844
Canada,High,1990,"27,693,000",4333318,15.64770159,145257,0.524526054,997144,3.60070776
Canada,High,1995,"29,330,000",4864778,16.58635527,152125,0.518666894,1067801,3.640644391
Canada,High,2000,"30,736,000",5511914,17.93308824,125154,0.407190265,1146883,3.731399662
Canada,High,2005,"32,288,000",6078985,18.82738169,147171,0.455807111,1187046,3.676430872
Canada,High,2010,"34,169,000",6761226,19.7876028,155530,0.455178671,1268970,3.713804911
Canada,High,2015,"35,950,000",7561226,21.03261752,155839,0.433488178,1313217,3.65289847
Canada,High,2017,"36,624,000",7861226,21.46468436,155839,0.425510594,1359585,3.712278834
Caribbean Netherlands,,1990,"13,000",38410,295.4615385,0,0,4325,33.26923077
Caribbean Netherlands,,1995,"15,000",42258,281.72,0,0,4888,32.58666667
Caribbean Netherlands,,2000,"14,000",46105,329.3214286,0,0,5567,39.76428571
Caribbean Netherlands,,2005,"14,000",49105,350.75,0,0,6367,45.47857143
Caribbean Netherlands,,2010,"21,000",11445,54.5,0,0,8576,40.83809524
Caribbean Netherlands,,2015,"25,000",13002,52.008,0,0,8921,35.684
Caribbean Netherlands,,2017,"25,000",13508,54.032,0,0,9294,37.176
Cayman Islands,High,1990,"25,000",9387,37.548,0,0,373,1.492
Cayman Islands,High,1995,"32,000",14320,44.75,0,0,803,2.509375
Cayman Islands,High,2000,"42,000",19253,45.84047619,0,0,1259,2.997619048
Cayman Islands,High,2005,"49,000",21655,44.19387755,1,0.002040816,1268,2.587755102
Cayman Islands,High,2010,"56,000",24057,42.95892857,1,0.001785714,1238,2.210714286
Cayman Islands,High,2015,"60,000",23726,39.54333333,19,0.031666667,1230,2.05
Cayman Islands,High,2017,"62,000",24355,39.28225806,74,0.119354839,1281,2.066129032
Central African Republic,Low,1990,"2,940,000",67234,2.286870748,3389,0.115272109,46240,1.572789116
Central African Republic,Low,1995,"3,353,000",99712,2.973814494,33856,1.009722636,49087,1.463972562
Central African Republic,Low,2000,"3,755,000",123529,3.289720373,55661,1.482316911,55328,1.473448735
Central African Republic,Low,2005,"4,128,000",94449,2.288008721,24569,0.595179264,131192,3.178100775
Central African Republic,Low,2010,"4,449,000",93466,2.100831648,21574,0.484917959,238620,5.363452461
Central African Republic,Low,2015,"4,546,000",81598,1.794940607,7694,0.16924769,692563,15.23455785
Central African Republic,Low,2017,"4,659,000",88774,1.90543035,11876,0.254904486,724669,15.55417472
Chad,Low,1990,"5,957,000",74342,1.24797717,0,0,336916,5.655799899
Chad,Low,1995,"7,001,000",89584,1.27958863,100,0.001428367,266971,3.813326668
Chad,Low,2000,"8,343,000",104825,1.256442527,17692,0.212058013,205856,2.467409805
Chad,Low,2005,"10,067,000",352062,3.497188835,275412,2.735790206,210019,2.086212377
Chad,Low,2010,"11,887,000",416924,3.507394633,347939,2.927054766,198851,1.672844284
Chad,Low,2015,"14,009,000",516968,3.690256264,422438,3.015475766,226437,1.616368049
Chad,Low,2017,"14,900,000",489690,3.286510067,393160,2.638657718,246960,1.657449664
Channel Islands,High,1990,"141,000",61660,43.73049645,0,0,18727,13.28156028
Channel Islands,High,1995,"144,000",60519,42.02708333,0,0,15628,10.85277778
Channel Islands,High,2000,"149,000",64301,43.15503356,0,0,12826,8.608053691
Channel Islands,High,2005,"154,000",70941,46.06558442,0,0,14847,9.640909091
Channel Islands,High,2010,"160,000",77581,48.488125,0,0,18133,11.333125
Channel Islands,High,2015,"164,000",82307,50.18719512,0,0,15944,9.72195122
Channel Islands,High,2017,"165,000",83082,50.35272727,0,0,16742,10.14666667
Chile,High,1990,"13,242,000",107501,0.811818456,179,0.00135176,489955,3.700007552
Chile,High,1995,"14,297,000",142417,0.996132056,262,0.001832552,495496,3.46573407
Chile,High,2000,"15,263,000",177332,1.161842364,344,0.002253816,508455,3.331291358
Chile,High,2005,"16,147,000",273384,1.693094693,983,0.006087818,539059,3.33844677
Chile,High,2010,"16,993,000",369436,2.174048137,1621,0.009539222,565682,3.328911905
Chile,High,2015,"17,763,000",469436,2.642774306,2913,0.016399257,611004,3.439756798
Chile,High,2017,"18,055,000",488571,2.706014954,3670,0.020326779,631832,3.499484907
China,Middle - upper,1990,"1,172,445,000",376361,0.032100525,285788,0.024375386,4229860,0.360772574
China,Middle - upper,1995,"1,239,940,000",442198,0.035662855,289747,0.023367824,4945376,0.398839944
China,Middle - upper,2000,"1,283,199,000",508034,0.039591209,293705,0.0228885,5786954,0.450978687
China,Middle - upper,2005,"1,321,623,000",678947,0.051372214,297346,0.022498549,7242306,0.547985772
China,Middle - upper,2010,"1,359,755,000",849861,0.062501039,300986,0.022135311,8648885,0.636062011
