key,description
ConcernAlterDNA,"The FDA classifies Pfizer's and Moderna's mRNA vaccines as 'gene therapies' because they contain genetic material. To what extent are you concerned that these vaccines might permanently alter a recipient's DNA? (1 = Not at all concerned, 7 = very concerned)"
VaccineTV,"How has seeing televised vaccinations of well-known people (I.e., politicians) made you feel about the vaccine? (0= I have not seen this, 1= Much more negative, 7= Much more positive)"
VaccinePeers,"How has seeing your friends, family, or other peers getting the vaccine (I.e., posts on social media) made you feel about the vaccine? (0= I have not seen this, 1= Much more negative, 7= Much more positive)
"
AfterVaccineNormal,"After the vaccine becomes available to most people, how long do you think it will take before the country returns to pre-COVID-19 normal (1=Less than one month, 2=1-2 months, 3=2-3 months, 4=3-6 months, 5=6-9 months, 6= 9-12 months, 7= More than one year)"
DecisionMask1,"When you made the decision on whether to get vaccinated, which of the following influenced your decision? Governmental authorities (1 = did not indluence me at all, 7= Heavily influenced me)"
DecisionMask2,"When you made the decision on whether to get vaccinated, which of the following influenced your decision? Medical/Scientific authorities (1 = did not indluence me at all, 7= Heavily influenced me)"
DecisionMask3,"When you made the decision on whether to get vaccinated, which of the following influenced your decision? What people around you were doing (1 = did not indluence me at all, 7= Heavily influenced me)"
DecisionMask4,"When you made the decision on whether to get vaccinated, which of the following influenced your decision? What people around you thought you should do (1 = did not indluence me at all, 7= Heavily influenced me)"
VaccineRisk1,"I can still get COVID-19 after getting vaccinated (1=Strongly disagree, 7=Strongly agree)"
VaccineRisk2,"I can still give COVID-19 to others after getting vaccinated (1=Strongly disagree, 7=Strongly agree)"
PostVaccineBehavior1,"How likely are you to do each of the following protective behaviors after receiving the COVID-19 vaccine? - Wear a mask in public (e.g., public transport, indoors) (1=Not at all, 7=Extremely, 8=NA/not planning on taking a vaccine)"
PostVaccineBehavior2,"How likely are you to do each of the following protective behaviors after receiving the COVID-19 vaccine? - Wear mask indoors at friend?s/family?s house (1=Not at all, 7=Extremely, 8=NA/not planning on taking a vaccine)"
PostVaccineBehavior3,"How likely are you to do each of the following protective behaviors after receiving the COVID-19 vaccine? - Wash hands immediately after returning home (1=Not at all, 7=Extremely, 8=NA/not planning on taking a vaccine)"
PostVaccineBehavior4,"How likely are you to do each of the following protective behaviors after receiving the COVID-19 vaccine? - Social distance (i.e., stay away 6 feet away from others) (1=Not at all, 7=Extremely, 8=NA/not planning on taking a vaccine)"
PostVaccineBehavior5,"How likely are you to do each of the following protective behaviors after receiving the COVID-19 vaccine? - Minimizing as much as possible in-person interactions (i.e., only necessary in-person interactions such as grocery shopping) (1=Not at all, 7=Extremely, 8=NA/not planning on taking a vaccine)"
PostVaccineBehavior6,"How likely are you to do each of the following protective behaviors after receiving the COVID-19 vaccine? - Quarantine (i.e., completely avoid seeing people in-person outside your household) (1=Not at all, 7=Extremely, 8=NA/not planning on taking a vaccine)"
PFINeigh1,"When my neighborhood succeeds, I feel good. (1=Do not agree at all, 7=Strongly agree)"
PFINeigh2,"When my neighborhood fails, I feel bad. (1=Do not agree at all, 7=Strongly agree)"
PFINeigh3,"I feel that my neighborhood's gains are my gains (1=Do not agree at all, 7=Strongly agree)"
PFINeigh4,"What is good for my neighborhood is good for me (1=Do not agree at all, 7=Strongly agree)"
PFINeigh5,"Honestly, I don't care whether my neighborhood thrives or not (1=Do not agree at all, 7=Strongly agree) "
PFINeigh6,"My neighborhood and I rise and fall together (1=Do not agree at all, 7=Strongly agree)"
WillingnessNeigh,"Someone from your neighborhood is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week? (1=Not at all, 7=Very willing)"
NBTneigh,"Helping someone from my neighborhood when they are in need is the right thing to do. (1=Strongly disagree, 7=Strongly agree)"
PFIcountry1,"When my country succeeds, I feel good.  (1=Do not agree at all, 7=Strongly agree)"
PFIcountry2,"When my country fails, I feel bad.  (1=Do not agree at all, 7=Strongly agree)"
PFIcountry3,"I feel that my country's gains are my gains.  (1=Do not agree at all, 7=Strongly agree)"
PFIcountry4,"What is good for my country is good for me.  (1=Do not agree at all, 7=Strongly agree)"
PFIcountry5,"Honestly, I don't care whether my country thrives or not. (1=Do not agree at all, 7=Strongly agree)"
PFIcountry6,"My country and I rise and fall together. (1=Do not agree at all, 7=Strongly agree)"
WillingnessCountry,"A person who is a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week? (1=Not at all, 7=Very willing)"
NBTcountry,"Helping someone who is a citizen of your own country when they are in need is the right thing to do. (1=Strognly disagree, 7= Strongly agree)"
TimeSpentOthers,"In the last 7 days, how many hours have you spent in places with many other people, such as in schools, stores, or public transport?"
ShopBF,"Did you shop indoors in a crowded store in the last 7 days? 1 = no, 2 = yes"
MaskBF,"During the time you shopped indoors in the last 7 days, to what extent did you wear a face mask and/or stay 6 feet away from others (1=Not at all, 5=Always)"
MoneyDonated,"In the last 7 days, how much money have you contributed to charities that try to help people affected by the pandemic?"
CovidVolunteer,"Considering the potential risk of spreading COVID-19, is helping others in-person the right thing to do now? (1=Not at all, 4=Not sure, 7=Absolutely)"
InfectedCovid,"Have you contracted COVID-19? (1 = no, 2 = maybe, 3 = yes)"
WeekSinceCovid,"If yes or maybe, how many weeks ago did you contract COVID-19?"
TestedCovid,"If yes or maybe, have you tested positive? (1 = no, 2 = have not been tested, 3 = yes)"
TimesHadCovid,How many separate times have you had COVID-19?
ContactsInfected,How many people do you personally know who have been diagnosed by a physician or tested positive for COVID-19?
Contacts24hrs,"How many people (outside of your household) have you had in-person interactions with during the last 24 hours (e.g., visiting with friends, buying food or supplies from a cashier)?"
Contacts7days,"How many people (outside of your household) have you had in-person interactions with during the last 7 days(e.g., visiting with friends, buying food or supplies from a cashier)?"
ContactsMask,"During these in-person interactions, if you were closer than 6 feet (2 meters) from the person(s) did you wear a face mask? (1=Never, 3=Half the time, 5=Always)"
HouseMask,"When members of your household have in-person interactions where they are closer than 6 feet (2 meters) from others, do they wear a face mask? (1=Never, 3=Half the time, 5=Always)"
Symptoms1,"Over the past 48 hours, have you shown any of the following symptoms? Fever or chills; (1 = no, 2 = yes)"
Symptoms2,"Over the past 48 hours, have you shown any of the following symptoms? Cough; (1 = no, 2 = yes)"
Symptoms3,"Over the past 48 hours, have you shown any of the following symptoms? Shortness of breath or difficulty breathing ; (1 = no, 2 = yes)"
Symptoms4,"Over the past 48 hours, have you shown any of the following symptoms? Fatigue ; (1 = no, 2 = yes)"
Symptoms5,"Over the past 48 hours, have you shown any of the following symptoms? Muscle or body aches; (1 = no, 2 = yes)"
Symptoms6,"Over the past 48 hours, have you shown any of the following symptoms? Headache;(1 = no, 2 = yes)"
Symptoms7,"Over the past 48 hours, have you shown any of the following symptoms? New loss of taste or smell; (1 = no, 2 = yes)"
Symptoms8,"Over the past 48 hours, have you shown any of the following symptoms? Sore throat;(1 = no, 2 = yes)"
Symptoms9,"Over the past 48 hours, have you shown any of the following symptoms? Congestion or runny nose; (1 = no, 2 = yes)"
Symptoms10,"Over the past 48 hours, have you shown any of the following symptoms? Nausea or vomiting ; (1 = no, 2 = yes)"
Symptoms11,"Over the past 48 hours, have you shown any of the following symptoms? Diarrhea;(1 = no, 2 = yes)"
Symptoms12,"Over the past 48 hours, have you shown any of the following symptoms? Conjunctivitis (pink eye) (1 = no, 2 = yes)"
Symptoms13,"Over the past 48 hours, have you shown any of the following symptoms? Purple or darker colored toes (1 = no, 2 = yes)"
MaskAttitudes1,"Seeing other people wearing face masks in public makes me feel safe (1=Strongly disagree, 7=Strongly agree)"
MaskAttitudes2,"Seeing other people wearing face masks in public makes me feel relieved (1=Strongly disagree, 7=Strongly agree)"
MaskAttitudes3,"Seeing other people wearing face masks in public makes me feel disgust (1=Strongly disagree, 7=Strongly agree)"
MaskAttitudes4,"Seeing other people NOT wearing face masks in public makes me feel safe (1=Strongly disagree, 7=Strongly agree)"
MaskAttitudes5,"Seeing other people NOT wearing face masks in public makes me feel relieved (1=Strongly disagree, 7=Strongly agree)"
MaskAttitudes6,"Seeing other people NOT wearing face masks in public makes me feel disgust (1=Strongly disagree, 7=Strongly agree)"
MaskMotives1,"I wear a face mask when going out in public to keep myself from getting sick (1=strongly disagree, 7=Strongly agree)"
MaskMotives2,"I wear a face mask when going out in public to prevent others from getting sick in case I may be infected but don?t know it yet (1=strongly disagree, 7=Strongly agree)"
MaskMotives3,"Wearing a face mask when going out in public is the right thing to do (1=strongly disagree, 7=Strongly agree)"
NeighborMask,"What proportion of individuals in your neighborhood wear a mask while shopping? (1=none, 7=all)"
NeighborMask1,"What proportion of people in your area wear a mask while doing routine activities indoors (e.g., running errands, shopping, going to work)? 1 = none, 4 = half, 7 = all"
NeighborMask2,"What proportion of people in your area wear a mask while doing recreational/social activities indoors (e.g., going to the gym, eating at a restaurant, attending a party)? 1 = none, 4 = half, 7 = all"
MaskMandate,"Have mask mandates been lifted in your area? (1=yes, 2=no, 3=unsure)"
MaskMandates1,"Even if there are no mask requirements in my area, I will continue to wear a mask in public because I am concerned for my own health/safety (1= strongly disagree, 7= strongly agree)"
MaskMandates2,"Even if there are no mask requirements in my area, I will continue to wear a mask in public because I am concerned for others health/safety (1= strongly disagree, 7= strongly agree)"
MaskMandates3,"Even if there are no mask requirements in my area, I will continue to wear a mask in public because I am concerned about what others may think of me if I do not wear a mask (1= strongly disagree, 7= strongly agree)"
Reason4mask,"Please list any other reasons why you might continue to wear a mask in public, if any"
TravelMask1,"Authority figures I trust believe that wearing a mask while using public transportation is the right thing to do.  (1=strongly disagree, 7=strongly agree)"
TravelMask2,"I'll change how often I wear a mask while traveling in response to the official mask mandate change  (1=strongly disagree, 7=strongly agree)"
TravelMask3,"I'll change how often I wear a mask while traveling in response to what other passengers around me are doing   (1=strongly disagree, 7=strongly agree)"
MaskTrust,"Compared to people who choose to not wear face-masks in public, those who wear face-masks in public are (1 = much less trustworthy, 5 = much more trustworthy)"
MaskIntelligence,"Compared to people who choose to not wear face-masks in public, those who wear face-masks in public are: (1 = much less intelligent, 5 = much more intelligent)"
HelpGiven1,"In the past 30 days, how many times have you helped people that you know (e.g., family, friends, neighbors), excluding members of your own household, because of the following reasons? Do not include money that you donated to charity, or times you were volunteering. Giving money to someone you know who needs it (e.g., for rent, utilities, etc); (1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times)"
HelpGiven2,"In the past 30 days, how many times have you helped people that you know (e.g., family, friends, neighbors), excluding members of your own household, because of the following reasons? Do not include money that you donated to charity, or times you were volunteering. Providing food or water e.g., meals, groceries; (1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times)"
HelpGiven3,"In the past 30 days, how many times have you helped people that you know (e.g., family, friends, neighbors), excluding members of your own household, because of the following reasons? Do not include money that you donated to charity, or times you were volunteering. Providing household supplies (e.g., medical, cleaning, etc); (1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times)"
HelpGiven4,"In the past 30 days, how many times have you helped people that you know (e.g., family, friends, neighbors), excluding members of your own household, because of the following reasons? Do not include money that you donated to charity, or times you were volunteering. Providing help to someone who was sick, or injured; (1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times)"
HelpGiven5,"In the past 30 days, how many times have you helped people that you know (e.g., family, friends, neighbors), excluding members of your own household, because of the following reasons? Do not include money that you donated to charity, or times you were volunteering. Providing help with child or dependent care; (1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times)"
HelpGiven6,"In the past 30 days, how many times have you helped people that you know (e.g., family, friends, neighbors), excluding members of your own household, because of the following reasons? Do not include money that you donated to charity, or times you were volunteering. Providing emotional support; (1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times)"
ReasonHelp,"Please take a moment to think of the last time you provided help to someone you know (excluding members of your own household). What was the reason for giving help? (1=Money, 2= Food or water, 3=Housold supplies, 4=caring ofr someone who was sick, 5=Help with child or dependent care, 6=Emotional support, 7=Other, 8=I have not provided help to people outside my household on the past 30 days)"
ReasonHelpOld,Please take a moment to think of the last time you provided help to someone you know (excluding members of your own household). What was the reason for giving help?
ReasonHelp.TEXT,Please take a moment to think of the last time you provided help to someone you know (excluding members of your own household). What was the reason for giving help? Other: 
PersonHelped,"What is your relationship with the person that you most recently helped? 1 = acquaintance, 2 = friend, 3 = family member, 4 = other"
PersonHelpedFamily,What is your relationship with the family member that you most recently helped?
EmpathyState1,"To what extent did you feel troubled during this particular time that you helped someone that you know? (1=Not at all, 7=Extremely)"
EmpathyState2,"To what extent did you feel distressed during this particular time that you helped someone that you know? (1=Not at all, 7=Extremely)"
EmpathyState3,"To what extent did you feel concerned during this particular time that you helped someone that you know?  (1=Not at all, 7=Extremely)"
EmpathyState4,"To what extent did you feel compassionate during this particular time that you helped someone that you know?  (1=Not at all, 7=Extremely)"
TimeSinceHelp,"How long ago was this particular time that you helped someone that you know? (4= less than 1 week ago, 5= 1-2 weeks ago, 6=  2-3 weeks ago, 7= 3-4 weeks ago, 11=4-8 weeks ago)
"
TimeSinceHelpOld,"How long ago was this particular time that you helped someone that you know? (4= less than 1 week ago, 5= 1-2 weeks ago, 6=  2-4 weeks ago, 7= 1-2 months ago, 8= 2-6 months ago, 9= 6-12 months ago, 10= over 1 year ago)
"
TimeSinceHelpOlder,How long ago was this particular time that you helped someone that you know?
ElicitHelp,"When people in your community/network need help, how do they go about eliciting that help? Select all that apply."
ElicitHelpText,"When people in your community/network need help, how do they go about eliciting that help? Select all that apply. Other:"
HelpReceived1,"In the past 30 days, how many times have you received help from people that you know (e.g., family, friends, neighbors), excluding members of your own household, because of the following reasons? Do not include goods received from charities or aid received from volunteers you don't know. Receiving money from someone you know when you needed it (e.g., for groceries, rent, utilities, etc); (1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times)"
HelpReceived2,"In the past 30 days, how many times have you received help from people that you know (e.g., family, friends, neighbors), excluding members of your own household, because of the following reasons? Do not include goods received from charities or aid received from volunteers you don't know. Receiving food or water (e.g., meals, groceries); (1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times)"
HelpReceived3,"In the past 30 days, how many times have you received help from people that you know (e.g., family, friends, neighbors), excluding members of your own household, because of the following reasons? Do not include goods received from charities or aid received from volunteers you don't know. Receiving household supplies (e.g., medical, cleaning, etc); 1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times"
HelpReceived4,"In the past 30 days, how many times have you received help from people that you know (e.g., family, friends, neighbors), excluding members of your own household, because of the following reasons? Do not include goods received from charities or aid received from volunteers you don't know. Receiving help when sick or injured; 1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times"
HelpReceived5,"In the past 30 days, how many times have you received help from people that you know (e.g., family, friends, neighbors), excluding members of your own household, because of the following reasons? Do not include goods received from charities or aid received from volunteers you don't know. Receiving help with child or dependent care; 1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times"
HelpReceived6,"In the past 30 days, how many times have you received help from people that you know (e.g., family, friends, neighbors), excluding members of your own household, because of the following reasons? Do not include goods received from charities or aid received from volunteers you don't know. Receiving emotional support; 1 = 0 times, 2 = 1-2 times, 3 = 3-4 times, 4 = 5-6 times, 5 = more than 6 times"
MutualAidGroup,"If you belong to any organized mutual aid group where people help each other (e.g., with basic needs, services or favors, during disasters), list the name of the organization(s) below:"
CFCset1.1,"I consider how things might be in the future, and try to influence those things with my day to day behavior. (1=Not at all like you, 7=Very much like you)"
CFCset1.2,"Often I engage in a particular behavior in order to achieve outcomes that may not result for many years.  (1=Not at all like you, 7=Very much like you)"
CFCset1.3,"I only act to satisfy immediate concerns, figuring the future will take care of itself.   (1=Not at all like you, 7=Very much like you)"
CFCset1.4,"My behavior is only influenced by the immediate (i.e., a matter of days or weeks) outcomes of my actions.  (1=Not at all like you, 7=Very much like you)"
CFCset1.5,"My convenience is a big factor in the decisions I make or the actions I take.  (1=Not at all like you, 7=Very much like you)"
CFCset1.6,"I am willing to sacrifice my immediate happiness or wellbeing in order to achieve future outcomes.  (1=Not at all like you, 7=Very much like you)"
CFCset1.7,"I think it is important to take warnings about negative outcomes seriously even if the negative outcome will not occur for many years.   (1=Not at all like you, 7=Very much like you)"
CFCset2.1,"I think it is more important to perform a behavior with important distant consequences than a behavior with less important immediate consequences.  (1=Not at all like you, 7=Very much like you)"
CFCset2.2,"I generally ignore warnings about possible future problems because I think the problems will be resolved before they reach crisis level.  (1=Not at all like you, 7=Very much like you)"
CFCset2.3,"I think that sacrificing now is usually unnecessary since future outcomes can be dealt with at a later time. (1=Not at all like you, 7=Very much like you)"
CFCset2.4,"I only act to satisfy immediate concerns, figuring that I will take care of future problems that may occur at a later date. (1=Not at all like you, 7=Very much like you)"
CFCset2.5,"Since my day-to-day work has specific outcomes, it is more important to me than behavior that has distant outcomes.  (1=Not at all like you, 7=Very much like you)"
CFCset2.6,"When I make a decision, I think about how it might affect me in the future.  (1=Not at all like you, 7=Very much like you)"
CFCset2.7,"My behavior is generally influenced by future consequences  (1=Not at all like you, 7=Very much like you)"
Discounting1,"Which would you rather receive? (1=$26 right now, 2=$59 in 17 days)"
Discounting2,"Which would you rather receive? (1=$69 right now , 2=$85 in 91 days)"
Discounting3,"Which would you rather receive? (1=$47 right now, 2=$80 in 25 days)"
Discounting4,"Which would you rather receive? (1=$11 right now, 2=$30 in 7 days)"
Discounting5,"Which would you rather receive? (1=$34 right now, 2=$50 in 30 days)"
Discounting6,"Which would you rather receive? (1=$17 right now, 2=$29 in 25 days)"
Discounting7,"Which would you rather receive? (1=$23 right now, 2=$60 in 10 days)"
Discounting8,"Which would you rather receive? (1=$40 right now, 2=$55 in 62 days )"
Discounting9,"Which would you rather receive? (1=$32 right now, 2=$83 in 10 days )"
Discounting10,"Which would you rather receive? (1=$27 right now, 2=$50 in 21 days )"
Discounting11,"Which would you rather receive? (1=$25 right now, 2=$60 in 14 days )"
Discounting12,"Which would you rather receive? (1=$41 right now, 2=$75 in 20 days)"
Discounting13,"Which would you rather receive? (1=$14 right now, 2=$25 in 19 days)"
Discounting14,"Which would you rather receive? (1=$55 right now , 2=$75 in 61 days)"
Discounting15,"Which would you rather receive? (1=$33 right now, 2=$80 in 14 days)"
Discounting16,"Which would you rather receive? (1=$15 right now, 2=$33 in 16 days )"
Discounting17,"Which would you rather receive? (1=$49 right now, 2=$60 in 89 days )"
Discounting18,"Which would you rather receive? (1=$30 right now, 2=$51 in 25 days )"
Discounting19,"Which would you rather receive? (1=$19 right now , 2=$25 in 53 days )"
Discounting20,"Which would you rather receive? (1=$24 right now , 2=$35 in 29 days )"
Discounting21,"Which would you rather receive? (1=$15 right now, 2=$35 in 29 days )"
Discounting22,"Which would you rather receive? (1=$20 right now, 2=$55 in 7 days )"
Discounting23,"Which would you rather receive? (1=$31 right now, 2=$85 in 7 days )"
Discounting24,"Which would you rather receive? (1=$25 right now, 2=$30 in 80 days)"
Discounting25,"Which would you rather receive? (1=$15 right now, 2=$39 in 10 days)"
Discounting26,"Which would you rather receive? (1=$37 right now, 2=$84 in 17 days)"
Discounting27,"Which would you rather receive? (1=$54 right now, 2=$80 in 30 days)"
EconomyVSshutdown,"Government efforts to slow the spread of COVID-19 have led to severe economic consequences. Assuming your area has re-opened completely and a second wave hits in the winter, how should people in your area respond? (1=Keep economy open, 7=Complete shutdown)"
Predictability1,"Below are some common reasons people need help from each other. Does this reason for helping arise at regular, predictable times, or does it arise at unpredictable times? Not having enough money for rent or mortgage payments (1=Very unpredictable, 5=Very predictable)"
Predictability2,"Below are some common reasons people need help from each other. Does this reason for helping arise at regular, predictable times, or does it arise at unpredictable times? Not having enough money to pay for utilities (1=Very unpredictable, 5=Very predictable)"
Predictability3,"Below are some common reasons people need help from each other. Does this reason for helping arise at regular, predictable times, or does it arise at unpredictable times? Not having enough food or water (1=Very unpredictable, 5=Very predictable)"
Predictability4,"Below are some common reasons people need help from each other. Does this reason for helping arise at regular, predictable times, or does it arise at unpredictable times? Not having household supplies (e.g., medical, cleaning) (1=Very unpredictable, 5=Very predictable)"
Predictability5,"Below are some common reasons people need help from each other. Does this reason for helping arise at regular, predictable times, or does it arise at unpredictable times? Being sick or injured (1=Very unpredictable, 5=Very predictable)"
