key,description,response,type
CFIHumanity3,"When all of humanity succeeds, I feel","-3=Very bad for me, 3=Very good for me",int
CFIHumanity4,"CFIHumanity - When all of humanity fails, I feel","-3=Very bad for me, 3=Very good for me",int
CFIHumanity5,All of humanity's gain is,"-3=Very bad for me, 3=Very good for me",int
CFIHumanity6,All of humanity's loss is,"-3=Very bad for me, 3=Very good for me",int
WillingnessHumanity1,"During a winter storm, a displaced person who is not a citizen of your own country knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night?","1=Not at all willing, 7=Very willing",int
WillingnessHumanity2,A displaced person who is not a citizen of your own country has no water in their house. How willing would you be to fill their jugs with water from your tap?,"1=Not at all willing, 7=Very willing",int
WillingnessHumanity,"A displaced person who is not a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week?","1=Not at all willing, 7=Very willing",int
WillingnessHumanity4,How willing would you be to help a displaced person who is not a citizen of your own country move boxes into their new apartment?,"1=Not at all willing, 7=Very willing",int
RepayHumanity1,How much repayment or compensation would you expect for helping someone from a displaced person who is not a citizen of your own country?,"1=I would not expect any repayment or compensation, 7= I would expect equal repayment or compensation",int
NBTHumanity,Helping a displaced person who is not a citizen of your own country when they are in need is the right thing to do,"1=Strongly disagree, 7= Strongly agree",int
NBTHumanity2,I get a strong urge to help when I see that a displaced citizen who is not from my own country is upset,"1=Strongly disagree, 7= Strongly agree",int
Stress,How stressed do you currently feel dealing with changes caused by COVID19? ,"1=Not at all stressed, 7=Extremely stressed",int
PSS1,"In the last month, how often have you been upset because of something that happened unexpectedly?","1=Never, 5=Very often",int
PSS2,"In the last month, how often have you felt that you were unable to control the important things in your life?","1=Never, 5=Very often",int
PSS3,"In the last month, how often have you felt nervous and stressed?","1=Never, 5=Very often",int
PSS4,"In the last month, how often have you felt confident about your ability to handle your personal problems?","1=Never, 5=Very often",int
PSS5,"In the last month, how often have you felt that things were going your way?","1=Never, 5=Very often",int
PSS6,"In the last month, how often have you found that you could not cope with all the things that you had to do?","1=Never, 5=Very often",int
PSS7,"In the last month, how often have you been able to control irritations in your life?","1=Never, 5=Very often",int
PSS8,"In the last month, how often have you felt that you were on top of things?","1=Never, 5=Very often",int
PSS9,"In the last month, how often have you been angered because of things that were outside of your control?","1=Never, 5=Very often",int
PSS10,"In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?","1=Never, 5=Very often",int
Anxiety,How anxious do you feel when you think about the current events going on in the world? ,"1=Not at all anxious, 7=Extremely anxious",int
Anxiety1,"Over the last two weeks, how often have you been bothered by the following problems? Feeling nervous, anxious, or on edge","1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day",int
Anxiety2,"Over the last two weeks, how often have you been bothered by the following problems? Not being able to stop or control worrying","1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day",int
Anxiety3,"Over the last two weeks, how often have you been bothered by the following problems? Worrying too much about different things","1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day",int
Anxiety4,"Over the last two weeks, how often have you been bothered by the following problems? Trouble relaxing","1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day",int
Anxiety5,"Over the last two weeks, how often have you been bothered by the following problems? Being so restless that it's hard to sit still","1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day",int
Anxiety6,"Over the last two weeks, how often have you been bothered by the following problems? Becoming easily annoyed or irritable","1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day",int
Anxiety7,"Over the last two weeks, how often have you been bothered by the following problems? Feeling afraid as if something awful might happen","1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day",int
PerceptionsRisk,How likely do you think it is that you will contract COVID19?,"1=Not at all, 7=Extremely",int
PerceptionsRisk2,How likely is it that the epidemic will get a lot worse before it gets better?,"1=Not at all, 7=Extremely",int
PerceptionsRisk3,"How likely are you to avoid places where you might contract the virus (school, work, hospitals, etc.)?","1=Not at all, 7=Extremely",int
Riskmanagementtransfer,I am likely to ask parents or friends for help preparing for the COVID19 epidemic,"1=Do not agree at all, 7= Strongly agree",int
Riskmanagementretention,I have been stocking up on food and supplies so that I am prepared for the COVID19 epidemic,"1=Do not agree at all, 7= Strongly agree",int
Riskmanagementreduction,I try to reduce my risk of getting COVID19 by doing things like washing my hands often,"1=Do not agree at all, 7= Strongly agree",int
Riskmanagementavoidance,"I completely avoid situations that could put me at risk of contracting COVID19, like going to the grocery store when it is crowded","1=Do not agree at all, 7= Strongly agree",int
RiskmanagementAvoid1,"I completely avoid situations that could put me at risk of contracting COVID19, for example staying away from large events where there have been cases","1=Do not agree at all, 7= Strongly agree",int
RiskmanagementAvoid2,"I completely avoid situations that could put me at risk of contracting COVID19, for example not traveling to locations where there have been cases","1=Do not agree at all, 7= Strongly agree",int
Riskmanagementreduction2,I try to reduce my risk of getting COVID19 by wearing a mask when I leave the house,"1=Do not agree at all, 7= Strongly agree",int
RiskmanagementavoidComposite,Average of RiskmanagementAvoid1 & RiskmanagementAvoid2,,int
RiskmanagementreductionComposite,Average of Riskmanagementreduction & Riskmanagementreduction2,,int
DiseaseAvoidance1,I avoid places and people that might carry diseases,"1=Strongly disagree, 7=Strongly agree",int
DiseaseAvoidance2,I avoid people who might have a contagious illness,"1=Strongly disagree, 7=Strongly agree",int
DiseaseAvoidance3,I worry about catching colds and the flu from too much contact with other people,"1=Strongly disagree, 7=Strongly agree",int
DiseaseAvoidance4,I do not worry very much about getting germs from others,"1=Strongly disagree, 7=Strongly agree",int
DiseaseAvoidance5,"When someone near me is sick, it doesn't bother me very much","1=Strongly disagree, 7=Strongly agree",int
DiseaseAvoidance6,I don't mind being around people who are sick,"1=Strongly disagree, 7=Strongly agree",int
NonfoodHave,How many days of non-food supplies do you currently have for your household?,"Free input, numbers only",int
NonfoodWant,How many days of non-food supplies would you like to have for your household?,"Free input, numbers only",int
FoodHave,How many days of food do you currently have for your household?,"Free input, numbers only",int
FoodWant,How many days of food would you like to have for your household?,"Free input, numbers only",int
Summer1,"How much are you thinking about canceling your plans (travel, work, vacation, etc.) for the next week?","1=Not at all, 7=Very much",int
Summer2,"How much are you thinking about canceling your plans (travel, work, vacation, etc.) for the next month?","1=Not at all, 7=Very much",int
Summer3,"How much are you thinking about canceling your plans (travel, work, vacation, etc.) for the summer?","1=Not at all, 7=Very much",int
Back2Normal,When do you think life will get back to normal?,"1=Two weeks, 2=One month, 3=Two months, 4= Four months, 5=Six months, 6=Nine months, 7=1 year, 8= 1.5 years, 9=2 years, 10=More than 2 years, 11=Never",int
Concern,How concerned are you about becoming infected with COVID19?,"1=Not at all concerned, 7=Very concerned",int
OtherConcern,How concerned are you about other matters (not-related to infection) associated with the COVID19 outbreak?,"1=Not at all concerned, 7=Very concerned",int
DiscussWith1,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? Family,"1=Not at all likely, 7=Very likely",int
DiscussWith2,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? Friends,"1=Not at all likely, 7=Very likely",int
DiscussWith3,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? Coworkers,"1=Not at all likely, 7=Very likely",int
DiscussWith4,How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? Strangers,"1=Not at all likely, 7=Very likely",int
PrepTimeCovidnotCOVID,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%) Spent time on things NOT RELATED to the COVID19",,int
PrepTimeCovidtracking,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%) Spent time learning about or tracking news about the COVID19, how it is spreading, how to protect against it, etc",,int
PrepTimeCovidtalking,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%). Spent time talking, texting, etc., with family, friends, and coworkers about COVID19 and how to prepare for it",,int
PrepTimeCovidnewrelationships,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%). Spent time trying to develop new relationships, or improving existing relationships, with family, friends, neighbors, coworkers, church congregation members, etc.",,int
PrepTimeCovidmedical,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%). Spent time stocking up on medical supplies such as medications",,int
PrepTimeCovidfood,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%). Spent time stocking up on food",,int
PrepTimeCovidwater,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%). Spent time stocking up on water or prepa ring in case the water supply fails",,int
PrepTimeCovidpower,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%). Spent time buying supplies in case there is a loss of power from the electrical grid",,int
PrepTimeCovidhomedefense,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%). Spent time buying supplies for home defense (I.e., guns, ammo, door locks, security systems)",,int
PrepTimeCovidfinancial,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%). Spent time planning for the possible impact on your business, career, investments, pension, home equity, etc.?",,int
PrepTimeCovidbarter,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%). Spent time stocking up on physical goods that you could trade or barter if things get bad?",,int
PrepTimeCovidother,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%). Spent time on anything else related to preparing for COVID19?",,int
PrepTimeCovidotherText,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? (% of your time, responses to all PrepTime questions should add up to 100%). If you spent time preparing for an ""other"" activity, what was it?",,string
PrepCOVIDPoliticalLeaders,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: National political leaders","0=Very bad, 5=Neutral, 10=Excelent",int
PrepCOVIDLocalGov,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: Local or city government","0=Very bad, 5=Neutral, 10=Excelent",int
PrepCOVIDNationalHealthcare,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: National healthcare system","0=Very bad, 5=Neutral, 10=Excelent",int
PrepCOVIDLocalHealthcare,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: Local healthcare system","0=Very bad, 5=Neutral, 10=Excelent",int
PrepCOVIDNationalMedia,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: National media","0=Very bad, 5=Neutral, 10=Excelent",int
PrepCOVIDLocalMedia,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: Local media","0=Very bad, 5=Neutral, 10=Excelent",int
PrepCOVIDAirline,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: Airline transport system","0=Very bad, 5=Neutral, 10=Excelent",int
PrepCOVIDEmployer,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: Your employer","0=Very bad, 5=Neutral, 10=Excelent",int
PrepCOVIDExtendedFamily,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: Your extended family (grandparents, parents, aunts, uncles, cousins, in-laws, etc.)","0=Very bad, 5=Neutral, 10=Excelent",int
PrepCOVIDSigOther,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: Your significant other (boyfriend, girlfriend, wife, husband)","0=Very bad, 5=Neutral, 10=Excelent",int
PrepCOVIDParents,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: Your parents","0=Very bad, 5=Neutral, 10=Excelent",int
PrepCOVIDSiblings,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: Your siblings (brothers, sisters, etc.)","0=Very bad, 5=Neutral, 10=Excelent",int
Howmuch,How much money have you spent on preparations for COVID19?,"Free input, numbers only",int
Currency,What type of currency was this?,"1= US dollar (USD), 2= Euro (EUR), 3= Japanese yen (JPY), 4= British pound (GBP), 5=Australian dollar (AUD), 6=Canadian dollar (CAD), 7= Swiss franc (CHF), 8= Chinese renminbi (CNH), 9= Swedish krona (SEK), 10= New Zealand dollar (NZD)",int
CPR1,"If a stranger collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR","1 = not at all willing, 7 = very willing",int
CPR2,"If an acquaintance collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR","1 = not at all willing, 7 = very willing",int
CPR3,"If a family member collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR","1 = not at all willing, 7 = very willing",int
Delay1,I am considering delaying routine checkups and dentist visits.,"1=Strongly disagree, 7=Srongly agree",int
TemporalDiscounting,"If you found $100 tomorrow, how likely would you be to use it to go out to dinner?","1=Not at all likely, 7=Very likely",int
FutureWorld,How much are you thinking about climate change and other global sustainability issues that will have an impact on the world in the next 10-20 years?,"1=Not at all, 7=A lot",int
SocialDistancing,To what extent are you avoiding gathering in public places?,"1=Not avoiding/cancelling anything, 7= Actively avoiding/canceling as much as possible",int
SocialDistancing2,To what extent are you canceling meetings and get-togethers?,"1=Not avoiding/cancelling anything, 7= Actively avoiding/canceling as much as possible",int
Isolate1,I can have a significant impact on limiting the spread of the virus by isolating myself at home and washing my hands frequently,"1=Strongly disagree, 7=Strongly agree",int
Isolate2,I can significantly reduce my risk of becoming infected by the virus by isolating myself at home and washing my hands frequently,"1=Strongly disagree, 7=Strongly agree",int
Isolate3,Most people in my community are isolating themselves in their homes,"1=Strongly disagree, 7=Strongly agree",int
Altruistic,What is more altruistic at this time?,"1=Staying at home, 4=Not sure, 7=Bringing a meal to a neighbor",int
HoursworkedOutside,"In the last seven days, how many hours have you worked outside your home (in paid employment)? ","Free input, numbers only. Max value = 40",int
HoursWorkHome,"In the last 7 days, how many hours in total have you worked from home (in any way that brings in income or builds your career)?","Free input, numbers only. Max value = 40",int
HoursSpentOthers,"In the last 7 days, how many hours have you spent in places with many other people, such as in schools, stores, or public transport?","Free input, numbers only. Max value = 40",int
HoursInContact,"In the last 7 days, how many hours have you spent in contact with friends or family through phone calls, video chat, texting, or writing/reading emails?","Free input, numbers only. Max value = 40",int
HoursVolunteer,"In the last 7 days, how many hours have you volunteered to help people affected by the pandemic?","Free input, numbers only",int
MoneyDonated,"In the last 7 days, how much money have you contributed to charities that try to help people affected by the pandemic?","Free input, numbers only",int
HoursworkedOutsideOriginal,"In the last seven days, how many hours have you worked outside your home (in paid employment)?","Free input, numbers only",int
HoursWorkHomeOriginal,"In the last 7 days, how many hours in total have you worked from home (in any way that brings in income or builds your career)?","Free input, numbers only",int
HoursSpentOthersOriginal,"In the last 7 days, how many hours have you spent in places with many other people, such as in schools, stores, or public transport?","Free input, numbers only",int
HoursInContactOriginal,"In the last 7 days, how many hours have you spent in contact with friends or family through phone calls, video chat, texting, or writing/reading emails?","Free input, numbers only",int
aidindividuals,"If my government gives emergency aid to people during this pandemic, what percentage of the aid should go to: Individuals",,int
aidsmallbusiness,"If my government gives emergency aid to people during this pandemic, what percentage of the aid should go to: Small businesses that employ a few people each",,int
aidlargebusiness,"If my government gives emergency aid to people during this pandemic, what percentage of the aid should go to: Large businesses that employ many people each",,int
aidbanks,"If my government gives emergency aid to people during this pandemic, what percentage of the aid should go to: Banks that can loan money to people & businesses",,int
aidgovernment,"If my government gives emergency aid to people during this pandemic, what percentage of the aid should go to: State & local governments",,int
MostImportant,What do you think is the most important thing to do right now?,"1=Reduce the global spread of the virus, 2=Reduce the spread of the virus within my country, 3=Save lives of older people who get sick, 4=Save jobs and businesses disrupted by the pandemic, 5=Help families that have lost jobs and income",int
discounting,"If you could get $1000 from the government in a week or $2000 in the government in a month, which would you prefer?","1=Very strongly prefer $1000 in a week, 4=No preference, 7=Very strongly prefer $2000 in a month)",int
StartedPreparing,Have you started preparing for the Pandemic?,"0=No, 1=Yes",int
WeeksAgoPrepare,How many weeks ago did you start preparing for the COVID19 pandemic?,"Free input, numbers only",int
Cause,What caused you to start preparing for the pandemic? (Please respond in one or two sentences.),Free text,string
Information1,"After you decided to begin preparing, where did you seek information about how to prepare? Please list up to five sources that come to mind. Source 1",Free text,string
Information2,"After you decided to begin preparing, where did you seek information about how to prepare? Please list up to five sources that come to mind. Source 2",Free text,string
Information3,"After you decided to begin preparing, where did you seek information about how to prepare? Please list up to five sources that come to mind. Source 3",Free text,string
Information4,"After you decided to begin preparing, where did you seek information about how to prepare? Please list up to five sources that come to mind. Source 4",Free text,string
Information5,"After you decided to begin preparing, where did you seek information about how to prepare? Please list up to five sources that come to mind. Source 5",Free text,string
Whatdidyoudo1,What did you do to prepare? Please list up to five things you did to prepare. First thing,Free text,string
Whatdidyoudo2,What did you do to prepare? Please list up to five things you did to prepare. Second thing,Free text,string
Whatdidyoudo3,What did you do to prepare? Please list up to five things you did to prepare. Third thing,Free text,string
Whatdidyoudo4,What did you do to prepare? Please list up to five things you did to prepare. Fourth thing,Free text,string
Whatdidyoudo5,What did you do to prepare? Please list up to five things you did to prepare. Fifth thing,Free text,string
ImportantHelp1,What are some of the most important ways in which you are helping others during this time? List up to 5 things. First thing,Free text,string
ImportantHelp2,What are some of the most important ways in which you are helping others during this time? List up to 5 things. Second thing,Free text,string
ImportantHelp3,What are some of the most important ways in which you are helping others during this time? List up to 5 things. Third thing,Free text,string
ImportantHelp4,What are some of the most important ways in which you are helping others during this time? List up to 5 things. Fourth thing,Free text,string
ImportantHelp5,What are some of the most important ways in which you are helping others during this time? List up to 5 things. Fifth thing,Free text,string
ImportantHelpMe1,What are some of the most important ways in which others are helping you during this time? List up to 5 things. First thing,Free text,string
ImportantHelpMe2,What are some of the most important ways in which others are helping you during this time? List up to 5 things. Second thing,Free text,string
ImportantHelpMe3,What are some of the most important ways in which others are helping you during this time? List up to 5 things. Third thing,Free text,string
ImportantHelpMe4,What are some of the most important ways in which others are helping you during this time? List up to 5 things. Fourth thing,Free text,string
ImportantHelpMe5,What are some of the most important ways in which others are helping you during this time? List up to 5 things. Fifth thing,Free text,string
ContractedCovid,Have you contracted COVID-19?,"1=No, 2=Maybe, 3=Yes",int
WeeksSinceCovid,If yes or maybe how many weeks ago did you contract COVID-19?,"Free input, numbers only",int
TestedCovid,If yes or maybe have you tested positive?,"1=No, 2=Haven't been tested, 3=Yes",int
KnowSomeoneInfected,Do you personally know of someone who has contracted COVID-19?,"1=No, 2=Not sure, 3=Yes",int
HowManyInfected,"If yes or not sure, how many people do you personally know who have been diagnosed by a physician or tested positive for COVID-19?","Free input, numbers only",int
